invoice_id,vendor_id,po_id,contract_id,project_id,invoice_type,invoice_status,invoice_date,due_date,gross_amount,tax_rate,tax_amount,retention_pct,retention_amount,net_amount,currency,payment_term,early_payment_discount,paid_date,paid_amount,approved_by,approval_date,invoice_ref,description,created_date
INV-2025-0000020,VND-000195,,CTR-2020-000144,PRJ-2024-00550,PROGRESS,APPROVED,2025-05-23,2025-07-22,11867.33,0.05,593.37,0.05,593.37,11867.33,GBP,NET45,0.0,,,EMP-000754,2025-05-25,INV-REF-VI309DV,Arm once me system church whether.,2025-05-23
INV-2022-0000021,VND-000101,,CTR-2023-000857,PRJ-2022-00052,PROGRESS,PARTIALLY_PAID,2022-05-02,2022-06-01,889551.92,0.0,0.0,0.05,44477.6,845074.32,SAR,NET90,17791.04,2022-05-09,618869.22,EMP-000910,2022-05-03,INV-REF-ME121RP,Build three east organization people information.,2022-05-02
INV-2020-0000022,VND-000272,PO-2023-0000293,,PRJ-2020-00949,MATERIAL,ON_HOLD,2020-12-22,2021-03-22,70356.86,0.05,3517.84,0.0,0.0,73874.7,USD,NET15,0.0,,,,,INV-REF-UQ998NQ,Draw how public feel first sell.,2020-12-22
INV-2020-0000023,VND-000060,PO-2023-0000063,,PRJ-2022-00594,MATERIAL,APPROVED,2020-06-09,2020-06-24,109238.88,0.15,16385.83,0.0,0.0,125624.71,USD,NET30,0.0,,,EMP-000912,2020-06-18,INV-REF-NK107GE,Defense enter value thing these hard citizen.,2020-06-09
INV-2025-0000024,VND-000521,PO-2024-0000070,,PRJ-2021-00083,SERVICE,SUBMITTED,2025-05-01,2025-06-30,11647.86,0.15,1747.18,0.0,0.0,13395.04,AED,NET30,0.0,,,,,INV-REF-ZP849HA,Federal professional voice care break blood network.,2025-05-01
INV-2023-0000025,VND-000635,PO-2021-0000674,,PRJ-2023-00084,MATERIAL,PAID,2023-10-17,2024-01-15,43626.76,0.15,6544.01,0.0,0.0,50170.77,AED,NET60,0.0,2023-11-13,50170.77,EMP-000708,2023-10-28,INV-REF-NT449VN,Measure economy traditional anything plant.,2023-10-17
INV-2024-0000026,VND-000135,PO-2021-0000469,,PRJ-2023-00688,MATERIAL,APPROVED,2024-02-07,2024-02-22,116585.93,0.05,5829.3,0.0,0.0,122415.23,USD,NET90,0.0,,,EMP-000526,2024-02-17,INV-REF-VX400IO,Claim kind relationship night born.,2024-02-07
INV-2019-0000027,VND-000272,PO-2020-0000903,,PRJ-2023-00136,MATERIAL,APPROVED,2019-05-06,2019-06-20,17562.3,0.0,0.0,0.0,0.0,17562.3,SAR,NET60,0.0,,,EMP-000607,2019-05-20,INV-REF-XL280JJ,Camera final together someone team together.,2019-05-06
INV-2023-0000028,VND-000827,,CTR-2023-000009,PRJ-2023-00670,PROGRESS,PAID,2023-12-06,2023-12-21,173433.07,0.15,26014.96,0.1,17343.31,182104.72,SAR,NET45,0.0,2023-12-21,182104.72,EMP-000893,2023-12-08,INV-REF-WX331JA,See understand door class son computer include conference.,2023-12-06
INV-2024-0000029,VND-000620,PO-2020-0000650,,PRJ-2022-00216,SERVICE,APPROVED,2024-09-15,2024-11-14,40096.41,0.05,2004.82,0.0,0.0,42101.23,AED,NET60,0.0,,,EMP-000600,2024-09-29,INV-REF-RK563YS,Him although likely current.,2024-09-15
INV-2019-0000030,VND-000284,PO-2023-0000342,,PRJ-2023-00046,MATERIAL,APPROVED,2019-11-23,2020-01-07,63733.1,0.0,0.0,0.0,0.0,63733.1,USD,NET45,0.0,,,EMP-000006,2019-12-02,INV-REF-YO754OB,Huge everything attorney significant go.,2019-11-23
INV-2024-0000031,VND-000078,,CTR-2024-000855,PRJ-2023-00968,SERVICE,SUBMITTED,2024-10-25,2025-01-23,40032.23,0.05,2001.61,0.0,0.0,42033.84,SAR,NET45,0.0,,,,,INV-REF-VB868HQ,Oil worker although others.,2024-10-25
INV-2019-0000032,VND-000816,PO-2020-0000921,,PRJ-2020-00996,MATERIAL,PARTIALLY_PAID,2019-04-18,2019-05-18,1588685.14,0.05,79434.26,0.0,0.0,1668119.4,SAR,NET15,0.0,2019-05-13,967412.1,EMP-000060,2019-05-02,INV-REF-MG556HY,Couple and job mind southern rather vote.,2019-04-18
INV-2022-0000033,VND-000948,PO-2019-0000886,,PRJ-2024-00953,ADVANCE,PAID,2022-04-01,2022-05-31,96737.28,0.0,0.0,0.0,0.0,96737.28,SAR,NET30,0.0,2022-05-31,96737.28,EMP-000420,2022-04-07,INV-REF-EQ356VN,Professional by tonight medical project for.,2022-04-01
INV-2025-0000034,VND-000885,PO-2023-0000274,,PRJ-2019-00753,ADVANCE,PARTIALLY_PAID,2025-12-26,2026-01-10,20199.91,0.0,0.0,0.0,0.0,20199.91,GBP,NET90,0.0,2026-01-09,10813.92,EMP-000452,2025-12-30,INV-REF-MA482QY,Past feeling nature a.,2025-12-26
INV-2025-0000035,VND-000841,PO-2023-0000229,,PRJ-2023-00815,ADVANCE,APPROVED,2025-12-04,2026-01-03,339021.01,0.0,0.0,0.0,0.0,339021.01,SAR,NET90,0.0,,,EMP-000398,2025-12-18,INV-REF-YL436MP,Let kind degree list top somebody.,2025-12-04
INV-2019-0000036,VND-000657,PO-2019-0000696,,PRJ-2024-00522,ADVANCE,APPROVED,2019-06-19,2019-07-04,15815.32,0.15,2372.3,0.0,0.0,18187.62,GBP,NET30,0.0,,,EMP-000678,2019-06-24,INV-REF-GQ214ON,Behavior weight dog financial southern challenge.,2019-06-19
INV-2020-0000037,VND-000040,PO-2024-0000806,,PRJ-2023-00112,SERVICE,ON_HOLD,2020-08-11,2020-11-09,135035.82,0.05,6751.79,0.0,0.0,141787.61,SAR,IMMEDIATE,0.0,,,,,INV-REF-NX037ED,Though offer responsibility himself hundred challenge.,2020-08-11
INV-2023-0000038,VND-000447,PO-2022-0000948,,PRJ-2020-00002,MATERIAL,SUBMITTED,2023-12-18,2024-01-17,5221.26,0.15,783.19,0.0,0.0,6004.45,SAR,NET60,0.0,,,,,INV-REF-OL016ZS,Let newspaper true building card let most.,2023-12-18
INV-2024-0000039,VND-000680,PO-2020-0000738,,PRJ-2019-00869,ADVANCE,PAID,2024-09-16,2024-10-31,13463.28,0.05,673.16,0.0,0.0,14136.44,SAR,NET15,0.0,2024-10-12,14136.44,EMP-000214,2024-09-28,INV-REF-WC895NU,Interview trade knowledge city technology late seem.,2024-09-16
INV-2021-0000040,VND-000681,,CTR-2023-000925,PRJ-2023-00963,SERVICE,UNDER_REVIEW,2021-11-12,2022-02-10,132626.46,0.0,0.0,0.0,0.0,132626.46,SAR,NET60,0.0,,,,,INV-REF-OP487RC,Require doctor from throw.,2021-11-12
INV-2025-0000041,VND-000441,PO-2020-0000622,,PRJ-2023-00805,MATERIAL,APPROVED,2025-06-14,2025-08-13,298850.84,0.15,44827.63,0.0,0.0,343678.47,SAR,NET90,0.0,,,EMP-000969,2025-06-18,INV-REF-OY122SJ,Ask imagine my indeed deal.,2025-06-14
INV-2023-0000042,VND-000816,,CTR-2024-000291,PRJ-2023-00754,SERVICE,ON_HOLD,2023-12-06,2024-03-05,127650.64,0.15,19147.6,0.0,0.0,146798.24,SAR,NET60,0.0,,,,,INV-REF-SB669WK,Local wall fear hope through structure.,2023-12-06
INV-2025-0000043,VND-000826,PO-2019-0000026,,PRJ-2020-00204,MATERIAL,APPROVED,2025-05-06,2025-07-05,82994.33,0.0,0.0,0.0,0.0,82994.33,EUR,IMMEDIATE,0.0,,,EMP-000259,2025-05-08,INV-REF-OF889OR,Magazine home protect something right subject.,2025-05-06
INV-2022-0000044,VND-000200,PO-2019-0000250,,PRJ-2020-00736,SERVICE,PAID,2022-12-02,2022-12-17,62839.83,0.0,0.0,0.0,0.0,62839.83,EUR,NET30,1256.8,2022-12-06,61583.03,EMP-000652,2022-12-05,INV-REF-BZ298LK,Base investment term.,2022-12-02
INV-2025-0000045,VND-000052,PO-2024-0000940,,PRJ-2020-00571,ADVANCE,PAID,2025-08-22,2025-09-21,10745.23,0.0,0.0,0.0,0.0,10745.23,USD,NET90,0.0,2025-09-09,10745.23,EMP-000452,2025-09-01,INV-REF-YU204ND,Front they everything week instead strong.,2025-08-22
INV-2021-0000046,VND-000628,PO-2024-0000437,,PRJ-2023-00835,ADVANCE,PARTIALLY_PAID,2021-08-17,2021-09-16,33531.27,0.15,5029.69,0.0,0.0,38560.96,GBP,NET15,0.0,2021-09-01,16565.63,EMP-000839,2021-08-21,INV-REF-DW708OP,Sit prepare senior wear.,2021-08-17
INV-2025-0000047,VND-000534,,CTR-2019-000282,PRJ-2023-00497,PROGRESS,PAID,2025-05-27,2025-06-26,49466.05,0.05,2473.3,0.05,2473.3,49466.05,SAR,NET60,0.0,2025-06-25,49466.05,EMP-000424,2025-06-05,INV-REF-JP309IE,Nor design record short.,2025-05-27
INV-2019-0000048,VND-000711,PO-2023-0000066,,PRJ-2020-00157,MATERIAL,APPROVED,2019-07-28,2019-09-11,481992.26,0.05,24099.61,0.0,0.0,506091.87,SAR,IMMEDIATE,0.0,,,EMP-000370,2019-07-29,INV-REF-VT299HX,Who blue agent find.,2019-07-28
INV-2020-0000049,VND-000789,,CTR-2020-000878,PRJ-2022-00599,PROGRESS,APPROVED,2020-09-01,2020-09-16,165285.15,0.15,24792.77,0.1,16528.51,173549.41,SAR,NET60,0.0,,,EMP-000028,2020-09-08,INV-REF-EL663SO,Big significant sure outside building.,2020-09-01
INV-2025-0000050,VND-000552,,CTR-2021-000820,PRJ-2020-00766,PROGRESS,PARTIALLY_PAID,2025-09-07,2025-10-07,7012.43,0.15,1051.86,0.05,350.62,7713.67,SAR,NET60,140.25,2025-09-08,3813.86,EMP-000920,2025-09-18,INV-REF-IB905QX,Media game support state.,2025-09-07
INV-2024-0000051,VND-000861,,CTR-2020-000638,PRJ-2023-00479,PROGRESS,PAID,2024-07-20,2024-10-18,160512.32,0.15,24076.85,0.05,8025.62,176563.55,USD,IMMEDIATE,0.0,2024-07-31,176563.55,EMP-000222,2024-07-31,INV-REF-OD165TJ,Computer miss practice pattern try simple.,2024-07-20
INV-2022-0000052,VND-000052,PO-2024-0000336,,PRJ-2019-00267,MATERIAL,REJECTED,2022-08-21,2022-10-05,55402.31,0.0,0.0,0.0,0.0,55402.31,EUR,NET60,0.0,,,,,INV-REF-RU769PF,Think during let particular her.,2022-08-21
INV-2022-0000053,VND-000432,PO-2020-0000482,,PRJ-2023-00259,MATERIAL,ON_HOLD,2022-10-04,2022-10-19,35761.14,0.0,0.0,0.0,0.0,35761.14,SAR,NET60,0.0,,,,,INV-REF-LF075NW,Future they red everybody act.,2022-10-04
INV-2019-0000054,VND-000773,,CTR-2019-000205,PRJ-2019-00032,PROGRESS,PAID,2019-05-03,2019-06-02,247091.61,0.0,0.0,0.05,12354.58,234737.03,USD,NET90,0.0,2019-05-22,234737.03,EMP-000449,2019-05-07,INV-REF-UA313FJ,Real position make society behavior.,2019-05-03
INV-2022-0000055,VND-000172,,CTR-2024-000797,PRJ-2019-00621,PROGRESS,PAID,2022-02-25,2022-05-26,463471.09,0.0,0.0,0.1,46347.11,417123.98,AED,NET30,0.0,2022-05-10,417123.98,EMP-000178,2022-03-08,INV-REF-TQ363LX,Network gas you nearly goal law fill.,2022-02-25
INV-2022-0000056,VND-000078,PO-2023-0000105,,PRJ-2022-00607,MATERIAL,PAID,2022-06-04,2022-09-02,399081.2,0.15,59862.18,0.0,0.0,458943.38,EUR,NET30,0.0,2022-08-16,458943.38,EMP-000441,2022-06-17,INV-REF-UH313VI,Course school everybody operation.,2022-06-04
INV-2019-0000057,VND-000380,PO-2020-0000664,,PRJ-2022-00071,MATERIAL,APPROVED,2019-01-07,2019-03-08,28034.01,0.05,1401.7,0.0,0.0,29435.71,SAR,NET90,0.0,,,EMP-000845,2019-01-13,INV-REF-GM894SO,Conference add move ever window network.,2019-01-07
INV-2024-0000058,VND-000157,,CTR-2023-000752,PRJ-2021-00446,PROGRESS,REJECTED,2024-11-11,2025-02-09,62080.14,0.15,9312.02,0.1,6208.01,65184.15,SAR,NET90,0.0,,,,,INV-REF-AK271SE,Key continue anything wait local state husband.,2024-11-11
INV-2025-0000059,VND-000873,,CTR-2021-000286,PRJ-2022-00252,PROGRESS,APPROVED,2025-08-26,2025-11-24,162250.25,0.05,8112.51,0.05,8112.51,162250.25,USD,IMMEDIATE,0.0,,,EMP-000140,2025-09-01,INV-REF-JJ190ZK,Be easy newspaper indicate other.,2025-08-26
INV-2019-0000060,VND-000500,,CTR-2023-000349,PRJ-2024-00218,SERVICE,APPROVED,2019-11-02,2019-12-17,426478.69,0.05,21323.93,0.0,0.0,447802.62,SAR,IMMEDIATE,0.0,,,EMP-000614,2019-11-06,INV-REF-YC938CT,Wrong figure perform participant science way debate decision.,2019-11-02
INV-2019-0000061,VND-000569,PO-2021-0000708,,PRJ-2021-00777,MATERIAL,APPROVED,2019-11-27,2020-01-26,48109.68,0.05,2405.48,0.0,0.0,50515.16,EUR,NET90,0.0,,,EMP-000431,2019-11-29,INV-REF-LJ123EK,Impact ready like.,2019-11-27
INV-2021-0000062,VND-000314,PO-2020-0000378,,PRJ-2024-00680,MATERIAL,PAID,2021-10-11,2022-01-09,74720.63,0.05,3736.03,0.0,0.0,78456.66,SAR,NET60,0.0,2021-12-21,78456.66,EMP-000971,2021-10-17,INV-REF-TS034SD,Reach under skin person.,2021-10-11
INV-2021-0000063,VND-000258,,CTR-2023-000739,PRJ-2020-00237,PROGRESS,APPROVED,2021-03-03,2021-06-01,18779.06,0.0,0.0,0.1,1877.91,16901.15,SAR,NET15,0.0,,,EMP-000206,2021-03-07,INV-REF-IO361PJ,Step author coach film see.,2021-03-03
INV-2024-0000064,VND-000779,,CTR-2024-000853,PRJ-2019-00538,SERVICE,PAID,2024-05-31,2024-06-30,16410.72,0.0,0.0,0.0,0.0,16410.72,SAR,NET60,328.21,2024-06-01,16082.51,EMP-000495,2024-06-12,INV-REF-HD947ST,Wall matter management ball always it.,2024-05-31
INV-2023-0000065,VND-000056,PO-2020-0000715,,PRJ-2019-00567,MATERIAL,SUBMITTED,2023-11-23,2024-01-22,333964.08,0.0,0.0,0.0,0.0,333964.08,GBP,NET30,0.0,,,,,INV-REF-BF594OR,Onto again share start office several compare.,2023-11-23
INV-2023-0000066,VND-000349,PO-2023-0000259,,PRJ-2024-00189,MATERIAL,REJECTED,2023-02-28,2023-03-15,754914.7,0.05,37745.74,0.0,0.0,792660.44,SAR,NET90,0.0,,,,,INV-REF-LL874BO,Why like impact fly bit claim in.,2023-02-28
INV-2023-0000067,VND-000153,,CTR-2021-000972,PRJ-2021-00831,PROGRESS,SUBMITTED,2023-05-08,2023-05-23,88608.65,0.05,4430.43,0.05,4430.43,88608.65,EUR,IMMEDIATE,0.0,,,,,INV-REF-WJ746CD,Fire follow wife identify.,2023-05-08
INV-2023-0000068,VND-000795,PO-2023-0000454,,PRJ-2022-00536,SERVICE,PAID,2023-10-29,2023-12-28,444764.12,0.05,22238.21,0.0,0.0,467002.33,USD,NET60,8895.28,2023-11-02,458107.05,EMP-000645,2023-11-08,INV-REF-DA808DM,Gun series personal service data near until.,2023-10-29
INV-2024-0000069,VND-000641,PO-2023-0000677,,PRJ-2022-00217,MATERIAL,PAID,2024-03-21,2024-04-20,169813.16,0.0,0.0,0.0,0.0,169813.16,USD,NET45,3396.26,2024-03-27,166416.9,EMP-000475,2024-03-22,INV-REF-BO771MZ,Report financial add impact different.,2024-03-21
INV-2022-0000070,VND-000299,PO-2023-0000290,,PRJ-2024-00034,SERVICE,PAID,2022-08-21,2022-09-05,37508.41,0.15,5626.26,0.0,0.0,43134.67,SAR,NET15,750.17,2022-08-26,42384.5,EMP-000410,2022-09-03,INV-REF-PJ171FT,Meeting event strong woman during.,2022-08-21
INV-2025-0000071,VND-000957,,CTR-2020-000118,PRJ-2024-00203,PROGRESS,PAID,2025-11-28,2025-12-28,169751.93,0.15,25462.79,0.05,8487.6,186727.12,EUR,NET60,3395.04,2025-12-01,183332.08,EMP-000713,2025-11-29,INV-REF-MM826GV,Tell everybody so increase.,2025-11-28
INV-2020-0000072,VND-000845,,CTR-2021-000450,PRJ-2022-00583,PROGRESS,PAID,2020-12-18,2021-02-01,991579.94,0.0,0.0,0.1,99157.99,892421.95,SAR,NET15,0.0,2021-01-05,892421.95,EMP-000503,2020-12-27,INV-REF-SU840TL,Your majority chance Mrs generation necessary myself lay.,2020-12-18
INV-2023-0000073,VND-000041,,CTR-2020-000619,PRJ-2024-00911,SERVICE,SUBMITTED,2023-01-14,2023-01-29,93550.9,0.05,4677.55,0.0,0.0,98228.45,AED,NET45,0.0,,,,,INV-REF-KY533OX,Analysis seat relate specific history professional.,2023-01-14
INV-2025-0000074,VND-000022,,CTR-2020-000591,PRJ-2024-00784,PROGRESS,PAID,2025-08-29,2025-11-27,1031954.86,0.0,0.0,0.05,51597.74,980357.12,SAR,NET15,0.0,2025-10-04,980357.12,EMP-000477,2025-09-01,INV-REF-IG270LV,Them key moment lead.,2025-08-29
INV-2023-0000075,VND-000993,PO-2023-0000342,,PRJ-2024-00094,SERVICE,PARTIALLY_PAID,2023-12-10,2023-12-25,1939.88,0.05,96.99,0.0,0.0,2036.87,SAR,NET45,0.0,2023-12-22,1115.66,EMP-000782,2023-12-21,INV-REF-EE262YQ,Perhaps however bag forget purpose move.,2023-12-10
INV-2022-0000076,VND-000466,,CTR-2021-000259,PRJ-2023-00091,PROGRESS,PAID,2022-07-26,2022-10-24,338694.49,0.05,16934.72,0.05,16934.72,338694.49,USD,NET30,0.0,2022-10-04,338694.49,EMP-000567,2022-08-03,INV-REF-CN578EP,Range explain dinner bed within set region beyond.,2022-07-26
INV-2022-0000077,VND-000638,PO-2024-0000641,,PRJ-2023-00775,MATERIAL,PAID,2022-01-27,2022-02-26,112484.49,0.05,5624.22,0.0,0.0,118108.71,USD,NET60,0.0,2022-02-26,118108.71,EMP-000823,2022-02-01,INV-REF-CU240YD,Grow issue each include radio.,2022-01-27
INV-2022-0000078,VND-000030,,CTR-2022-000727,PRJ-2024-00997,PROGRESS,REJECTED,2022-10-10,2022-10-25,63037.75,0.0,0.0,0.1,6303.78,56733.97,SAR,IMMEDIATE,0.0,,,,,INV-REF-FN222YN,Marriage on discussion point least.,2022-10-10
INV-2020-0000079,VND-000473,PO-2020-0000664,,PRJ-2022-00970,ADVANCE,ON_HOLD,2020-09-12,2020-10-27,113282.63,0.0,0.0,0.0,0.0,113282.63,USD,IMMEDIATE,0.0,,,,,INV-REF-RI074KE,War write federal while real lead.,2020-09-12
INV-2022-0000080,VND-000250,,CTR-2023-000149,PRJ-2021-00468,PROGRESS,ON_HOLD,2022-11-03,2023-02-01,5007.27,0.05,250.36,0.05,250.36,5007.27,GBP,NET15,0.0,,,,,INV-REF-EG436PY,Grow fast recognize against stop how account.,2022-11-03
INV-2025-0000081,VND-000875,PO-2024-0000957,,PRJ-2020-00425,MATERIAL,PAID,2025-05-17,2025-06-01,71004.05,0.15,10650.61,0.0,0.0,81654.66,USD,NET60,0.0,2025-05-31,81654.66,EMP-000599,2025-05-27,INV-REF-SX097ZO,Soon despite couple economy sense should race carry.,2025-05-17
INV-2023-0000082,VND-000153,PO-2023-0000496,,PRJ-2019-00458,ADVANCE,REJECTED,2023-06-20,2023-09-18,168664.84,0.05,8433.24,0.0,0.0,177098.08,SAR,IMMEDIATE,0.0,,,,,INV-REF-YC104CL,Run bed far section compare car.,2023-06-20
INV-2021-0000083,VND-000245,,CTR-2022-000240,PRJ-2020-00586,PROGRESS,ON_HOLD,2021-06-12,2021-08-11,906042.11,0.05,45302.11,0.05,45302.11,906042.11,AED,NET15,0.0,,,,,INV-REF-GR858KQ,Whose far that sound life away senior.,2021-06-12
INV-2022-0000084,VND-000841,PO-2024-0000508,,PRJ-2022-00668,MATERIAL,PAID,2022-03-06,2022-06-04,45369.47,0.0,0.0,0.0,0.0,45369.47,SAR,IMMEDIATE,0.0,2022-03-19,45369.47,EMP-000262,2022-03-20,INV-REF-XF368YZ,Enough buy happy.,2022-03-06
INV-2025-0000085,VND-000468,PO-2020-0000671,,PRJ-2019-00016,SERVICE,PAID,2025-02-08,2025-04-09,29356.22,0.0,0.0,0.0,0.0,29356.22,SAR,NET60,0.0,2025-03-25,29356.22,EMP-000245,2025-02-15,INV-REF-OX496GR,Likely people wall foreign particular.,2025-02-08
INV-2024-0000086,VND-000691,PO-2019-0000390,,PRJ-2021-00880,MATERIAL,APPROVED,2024-11-16,2025-01-15,46507.29,0.05,2325.36,0.0,0.0,48832.65,SAR,IMMEDIATE,0.0,,,EMP-000904,2024-11-18,INV-REF-PA174HI,Watch fight manage.,2024-11-16
INV-2020-0000087,VND-000233,,CTR-2022-000445,PRJ-2021-00765,PROGRESS,ON_HOLD,2020-08-15,2020-09-14,389688.58,0.0,0.0,0.05,19484.43,370204.15,SAR,NET15,0.0,,,,,INV-REF-IY138DX,Industry score choice increase between majority impact.,2020-08-15
INV-2019-0000088,VND-000301,PO-2021-0000442,,PRJ-2023-00368,MATERIAL,PAID,2019-05-06,2019-08-04,161639.96,0.0,0.0,0.0,0.0,161639.96,USD,NET90,0.0,2019-05-30,161639.96,EMP-000638,2019-05-09,INV-REF-NC405CP,Between rate name within grow huge.,2019-05-06
INV-2020-0000089,VND-000635,PO-2021-0000510,,PRJ-2022-00700,MATERIAL,PARTIALLY_PAID,2020-03-14,2020-04-13,44594.23,0.15,6689.13,0.0,0.0,51283.36,USD,NET90,0.0,2020-03-29,21932.01,EMP-000431,2020-03-15,INV-REF-FQ317NP,Wife anything four writer skin day stop never.,2020-03-14
