contract_id,contract_type,contract_status,vendor_id,project_id,contract_manager_id,scope_of_work,original_value,revised_value,revision_factor,variation_orders,currency,start_date,end_date,duration_months,retention_pct,performance_bond_pct,advance_payment_pct,liquidated_damages_pct,payment_terms,insurance_required,description,created_date
CTR-2019-000013,LUMP_SUM,APPROVED,VND-000741,PRJ-2024-00144,EMP-000718,Mechanical Installation,1444022.83,1287635.16,0.8917,0,USD,2019-02-15,2023-07-24,54,10,0,0,0.5,MILESTONE,True,Dream drive note bad rule staff within mouth call.,2019-02-15
CTR-2022-000014,REMEASURE,COMPLETED,VND-000088,PRJ-2021-00169,EMP-000648,HVAC Installation,56958.58,45629.52,0.8011,0,USD,2022-08-10,2025-01-26,30,10,15,10,1.0,MILESTONE,False,Water close month parent who up sense ready require human public health.,2022-08-10
CTR-2023-000015,COST_PLUS,UNDER_NEGOTIATION,VND-000511,PRJ-2021-00059,EMP-000062,Insulation Works,75555.54,82514.21,1.0921,1,SAR,2023-09-06,2024-03-04,6,10,0,10,0.5,MONTHLY,True,Later easy ask again network open according remain arrive attack all form.,2023-09-06
CTR-2020-000016,REMEASURE,TERMINATED,VND-000955,PRJ-2024-00253,EMP-000961,Commissioning Support,432167.58,474217.49,1.0973,1,USD,2020-11-19,2024-02-02,39,10,10,15,1.0,PROGRESS,True,Draw protect Democrat car very number line six space couple best issue.,2020-11-19
CTR-2022-000017,LUMP_SUM,COMPLETED,VND-000759,PRJ-2019-00324,EMP-000110,Catering & Camp Services,219861.55,176922.59,0.8047,0,SAR,2022-02-03,2025-02-17,37,0,10,10,2.0,MONTHLY,False,In tell approach president position art rock song body court movie.,2022-02-03
CTR-2021-000018,LUMP_SUM,ACTIVE,VND-000917,PRJ-2019-00721,EMP-000510,Catering & Camp Services,1609398.39,1779672.74,1.1058,1,USD,2021-09-10,2025-05-22,45,0,5,15,0.5,MONTHLY,False,Instead everything economic type kitchen technology nearly.,2021-09-10
CTR-2020-000019,LUMP_SUM,SUSPENDED,VND-000558,PRJ-2022-00209,EMP-000436,Fire Fighting Systems,257291.22,270850.47,1.0527,0,SAR,2020-01-03,2023-07-16,43,5,10,0,0.5,MILESTONE,True,Present music address behavior send door.,2020-01-03
CTR-2021-000020,LUMP_SUM,ACTIVE,VND-000712,PRJ-2022-00575,EMP-000013,HVAC Installation,120758.08,103356.84,0.8559,0,USD,2021-06-19,2024-08-02,38,0,15,10,0.5,PROGRESS,False,Magazine degree husband around her world enter six lawyer institution whatever.,2021-06-19
CTR-2019-000021,TURNKEY,APPROVED,VND-000405,PRJ-2020-00683,EMP-000161,Catering & Camp Services,9051790.61,8841789.07,0.9768,0,SAR,2019-07-20,2023-08-28,50,0,5,10,1.0,COMPLETION,True,Product main couple design around save article finish anyone live try most arm.,2019-07-20
CTR-2024-000022,TURNKEY,COMPLETED,VND-000684,PRJ-2022-00822,EMP-000417,HVAC Installation,715928.48,668247.64,0.9334,0,USD,2024-01-28,2026-10-14,33,0,5,20,2.0,MILESTONE,True,Bag control organization push dog build three east organization people information on.,2024-01-28
CTR-2024-000023,LUMP_SUM,ACTIVE,VND-000108,PRJ-2019-00991,EMP-000464,Civil Works,1111579.25,1084456.72,0.9756,0,USD,2024-09-11,2025-01-09,4,0,10,10,2.0,MONTHLY,True,First end prove fire enter capital population lead upon very act perform.,2024-09-11
CTR-2021-000024,COST_PLUS,ACTIVE,VND-000854,PRJ-2024-00119,EMP-000665,Mechanical Installation,118524.83,148132.33,1.2498,1,USD,2021-12-14,2022-03-14,3,10,5,15,5.0,PROGRESS,True,You available defense enter value thing these hard citizen street region particularly would.,2021-12-14
CTR-2024-000025,COST_PLUS,COMPLETED,VND-000488,PRJ-2023-00520,EMP-000526,Insulation Works,443931.66,503152.14,1.1334,1,USD,2024-05-18,2025-04-13,11,0,15,20,1.0,PROGRESS,True,Account stage federal professional voice care break blood network evening painting response.,2024-05-18
CTR-2019-000026,LUMP_SUM,APPROVED,VND-000972,PRJ-2024-00622,EMP-000559,Painting & Coatings,1186340.46,1224896.52,1.0325,0,EUR,2019-09-16,2024-01-23,53,10,5,0,2.0,PROGRESS,True,Reach table measure economy traditional anything plant stop.,2019-09-16
CTR-2020-000027,REMEASURE,APPROVED,VND-000314,PRJ-2020-00151,EMP-000023,Structural Steel Erection,178708.21,147094.73,0.8231,0,EUR,2020-02-15,2022-07-04,29,10,5,20,5.0,MILESTONE,True,About side PM energy scientist necessary.,2020-02-15
CTR-2024-000028,LUMP_SUM,COMPLETED,VND-000165,PRJ-2019-00798,EMP-000721,Commissioning Support,1764798.41,1604907.67,0.9094,0,USD,2024-09-08,2029-05-15,57,0,15,10,5.0,PROGRESS,False,Night born war real chance along hard need involve among half.,2024-09-08
CTR-2022-000029,REMEASURE,COMPLETED,VND-000844,PRJ-2020-00437,EMP-000920,Commissioning Support,408007.96,417392.14,1.023,0,EUR,2022-08-15,2024-03-07,19,0,10,30,5.0,MILESTONE,True,Together decide economic bill sister this.,2022-08-15
CTR-2019-000030,COST_PLUS,ACTIVE,VND-000546,PRJ-2023-00328,EMP-000907,Fire Fighting Systems,648527.3,544957.49,0.8403,0,USD,2019-12-05,2023-11-14,48,0,0,20,5.0,COMPLETION,True,Wind see understand door class son computer include conference under site.,2019-12-05
CTR-2020-000031,COST_PLUS,ACTIVE,VND-000981,PRJ-2020-00969,EMP-000021,Road & Infrastructure,407354.9,500394.76,1.2284,2,USD,2020-01-12,2021-11-02,22,5,15,30,1.0,MILESTONE,True,Soon ten specific environment skin blue the teach develop staff least.,2020-01-12
CTR-2022-000032,LUMP_SUM,ACTIVE,VND-000670,PRJ-2019-00742,EMP-000252,Electrical & Instrumentation,16165942.57,19727299.72,1.2203,1,SAR,2022-09-01,2024-12-19,28,10,0,0,5.0,COMPLETION,True,Star the development process huge everything attorney significant go.,2022-09-01
CTR-2021-000033,LUMP_SUM,APPROVED,VND-000533,PRJ-2023-00346,EMP-000648,Commissioning Support,984367.09,924419.13,0.9391,0,USD,2021-02-16,2021-06-16,4,10,0,15,1.0,MONTHLY,False,Hundred wonder movie voice boy wife condition while enter board its rock.,2021-02-16
CTR-2024-000034,LUMP_SUM,DRAFT,VND-000399,PRJ-2023-00205,EMP-000021,Electrical & Instrumentation,205547.74,228301.87,1.1107,0,USD,2024-11-04,2028-01-18,39,0,15,15,2.0,MONTHLY,False,Job worker break tonight couple and job mind southern rather.,2024-11-04
CTR-2020-000035,EPC,UNDER_NEGOTIATION,VND-000041,PRJ-2020-00952,EMP-000529,Transportation & Logistics,3449767.41,3753001.97,1.0879,1,USD,2020-12-07,2021-07-05,7,10,5,0,2.0,MONTHLY,False,Hair attorney professional form finish summer rest feel.,2020-12-07
CTR-2023-000036,COST_PLUS,ACTIVE,VND-000713,PRJ-2020-00678,EMP-000630,Engineering Design,160931.57,134297.4,0.8345,0,USD,2023-07-27,2026-05-12,34,0,15,15,5.0,MILESTONE,True,Project for recent never court professor here security community.,2023-07-27
CTR-2024-000037,REMEASURE,COMPLETED,VND-000908,PRJ-2021-00794,EMP-000812,Insulation Works,1374080.57,1418600.78,1.0324,0,USD,2024-04-27,2024-12-23,8,5,15,10,5.0,COMPLETION,True,Feeling nature a expert involve oil pressure let kind degree list top somebody.,2024-04-27
CTR-2022-000038,TURNKEY,APPROVED,VND-000338,PRJ-2024-00364,EMP-000428,Engineering Design,53129.88,51546.61,0.9702,0,EUR,2022-05-18,2022-08-16,3,10,5,0,1.0,COMPLETION,True,Probably exist professional people behavior weight dog financial.,2022-05-18
CTR-2020-000039,REMEASURE,COMPLETED,VND-000818,PRJ-2020-00459,EMP-000018,Structural Steel Erection,136997.91,115968.73,0.8465,0,USD,2020-04-10,2023-12-21,45,10,10,20,2.0,PROGRESS,True,Challenge animal worker particularly shoulder lay though offer.,2020-04-10
CTR-2022-000040,LUMP_SUM,ACTIVE,VND-000187,PRJ-2024-00739,EMP-000301,Mechanical Installation,1349563.62,1292612.04,0.9578,0,SAR,2022-12-06,2024-02-29,15,0,15,15,2.0,MILESTONE,True,Manager during prevent accept seem show blood interesting compare when.,2022-12-06
CTR-2021-000041,LUMP_SUM,DRAFT,VND-000901,PRJ-2021-00130,EMP-000460,Road & Infrastructure,3041008.83,2502142.07,0.8228,0,EUR,2021-12-05,2025-06-17,43,5,0,0,2.0,COMPLETION,True,Let newspaper true building card let most next fish sense kind spring.,2021-12-05
CTR-2020-000042,EPC,ACTIVE,VND-000798,PRJ-2019-00117,EMP-000099,Mechanical Installation,1298931.32,1299450.89,1.0004,0,EUR,2020-11-02,2021-10-28,12,0,10,0,1.0,COMPLETION,True,Interview trade knowledge city technology late seem style everyone sing machine dream.,2020-11-02
CTR-2023-000043,LUMP_SUM,ACTIVE,VND-000749,PRJ-2024-00931,EMP-000758,HVAC Installation,844523.28,801199.24,0.9487,0,SAR,2023-05-19,2026-10-30,42,0,0,10,1.0,MONTHLY,True,Back experience even floor music catch discuss really relationship ask imagine.,2023-05-19
CTR-2020-000044,REMEASURE,APPROVED,VND-000676,PRJ-2019-00462,EMP-000799,Scaffolding Services,639437.69,604652.28,0.9456,0,USD,2020-05-23,2025-02-26,58,5,0,10,2.0,MILESTONE,True,Letter artist strategy hope show watch affect thing offer local wall fear.,2020-05-23
CTR-2023-000045,LUMP_SUM,APPROVED,VND-000429,PRJ-2023-00847,EMP-000214,Road & Infrastructure,109339.94,91375.39,0.8357,0,GBP,2023-10-24,2028-04-30,55,10,10,20,0.5,PROGRESS,True,Table well industry section national owner determine detail job ahead.,2023-10-24
CTR-2021-000046,REMEASURE,ACTIVE,VND-000123,PRJ-2023-00613,EMP-000049,Scaffolding Services,341203.27,424695.71,1.2447,1,EUR,2021-01-03,2022-05-28,17,10,0,15,0.5,MILESTONE,True,Protect something right subject try wonder move trade option production.,2021-01-03
CTR-2024-000047,REMEASURE,ACTIVE,VND-000985,PRJ-2024-00447,EMP-000818,Engineering Design,503350.41,646553.6,1.2845,2,USD,2024-06-11,2028-02-21,45,0,5,15,5.0,COMPLETION,True,Poor career left anyone here deep force.,2024-06-11
CTR-2022-000048,COST_PLUS,ACTIVE,VND-000754,PRJ-2023-00091,EMP-000531,Piping & Fabrication,4904596.28,4542637.07,0.9262,0,SAR,2022-07-28,2025-06-12,35,0,15,20,0.5,PROGRESS,True,Everything week instead strong like see appear weight difference attention.,2022-07-28
CTR-2022-000049,REMEASURE,COMPLETED,VND-000322,PRJ-2022-00274,EMP-000923,Painting & Coatings,1681887.84,1455673.93,0.8655,0,USD,2022-12-16,2023-10-12,10,0,5,10,2.0,MONTHLY,True,Senior wear current after charge call.,2022-12-16
CTR-2019-000050,LUMP_SUM,COMPLETED,VND-000176,PRJ-2019-00473,EMP-000174,Road & Infrastructure,71356.22,80197.26,1.1239,0,USD,2019-12-10,2022-10-25,35,10,10,20,5.0,MILESTONE,True,Nor design record short cold parent security.,2019-12-10
CTR-2020-000051,LUMP_SUM,COMPLETED,VND-000850,PRJ-2021-00765,EMP-000208,Engineering Design,1633321.05,2012251.53,1.232,1,GBP,2020-07-11,2024-11-17,53,10,10,0,2.0,PROGRESS,False,Sing clearly find official up office traditional.,2020-07-11
CTR-2023-000052,EPC,ACTIVE,VND-000237,PRJ-2019-00458,EMP-000906,Piping & Fabrication,563755.87,587546.37,1.0422,0,EUR,2023-09-13,2026-04-30,32,5,5,10,5.0,COMPLETION,True,However resource away real physical big significant sure outside building.,2023-09-13
CTR-2024-000053,REMEASURE,COMPLETED,VND-000621,PRJ-2021-00396,EMP-000225,Civil Works,363893.67,381251.4,1.0477,0,USD,2024-10-11,2029-07-17,58,0,15,0,5.0,MILESTONE,True,Site girl into have media game support state black whether player stock religious.,2024-10-11
CTR-2024-000054,EPC,UNDER_NEGOTIATION,VND-000428,PRJ-2024-00347,EMP-000688,Insulation Works,2514323.74,2828362.78,1.1249,1,SAR,2024-09-13,2026-08-04,23,10,15,30,0.5,MONTHLY,True,Computer miss practice pattern try simple let stay or focus early.,2024-09-13
CTR-2024-000055,TURNKEY,TERMINATED,VND-000143,PRJ-2022-00445,EMP-000151,HVAC Installation,4716130.84,5565977.62,1.1802,0,USD,2024-12-10,2029-11-14,60,0,0,15,0.5,PROGRESS,True,Everything late seek now property from management.,2024-12-10
CTR-2020-000056,LUMP_SUM,ACTIVE,VND-000285,PRJ-2023-00175,EMP-000265,Road & Infrastructure,4060920.29,3409142.58,0.8395,0,EUR,2020-04-16,2023-07-30,40,0,5,20,2.0,PROGRESS,True,Consider deep something future they red everybody act way beat.,2020-04-16
CTR-2022-000057,TURNKEY,COMPLETED,VND-000251,PRJ-2021-00076,EMP-000758,Transportation & Logistics,285264.96,363028.19,1.2726,3,USD,2022-07-23,2024-02-13,19,5,10,10,5.0,COMPLETION,True,Major serve real position make society behavior develop reality fill ok.,2022-07-23
CTR-2022-000058,REMEASURE,ACTIVE,VND-000481,PRJ-2023-00023,EMP-000687,Insulation Works,631707.3,592036.08,0.9372,0,SAR,2022-12-02,2026-04-15,41,10,15,15,1.0,PROGRESS,True,Network gas you nearly goal law fill discover return firm sea week.,2022-12-02
CTR-2020-000059,REMEASURE,COMPLETED,VND-000216,PRJ-2023-00644,EMP-000150,Fire Fighting Systems,1651005.65,2066563.77,1.2517,0,USD,2020-08-02,2023-11-15,40,5,5,0,2.0,COMPLETION,True,Course school everybody operation set others wonder strategy.,2020-08-02
CTR-2020-000060,COST_PLUS,COMPLETED,VND-000600,PRJ-2022-00544,EMP-000834,Mechanical Installation,4339708.29,5453711.41,1.2567,1,USD,2020-08-26,2022-05-18,21,10,10,0,5.0,MILESTONE,False,Dinner conference add move ever window network recently call.,2020-08-26
CTR-2020-000061,TURNKEY,COMPLETED,VND-000653,PRJ-2019-00991,EMP-000927,Transportation & Logistics,489548.42,481177.14,0.9829,0,USD,2020-09-04,2023-04-22,32,5,10,30,5.0,PROGRESS,True,Bill activity expect long future whole education technology box assume man officer.,2020-09-04
CTR-2020-000062,REMEASURE,SUSPENDED,VND-000939,PRJ-2020-00336,EMP-000357,HVAC Installation,760332.82,854462.02,1.1238,1,SAR,2020-05-21,2022-10-08,29,0,5,0,0.5,COMPLETION,True,Charge specific we be easy newspaper.,2020-05-21
CTR-2020-000063,TURNKEY,APPROVED,VND-000753,PRJ-2020-00380,EMP-000907,Engineering Design,191089.57,192924.03,1.0096,0,SAR,2020-11-04,2025-06-11,56,5,15,15,0.5,PROGRESS,True,Paper so difficult mission late kind team wrong figure perform participant.,2020-11-04
CTR-2022-000064,EPC,COMPLETED,VND-000154,PRJ-2019-00703,EMP-000627,Civil Works,166990.14,179046.83,1.0722,0,USD,2022-05-07,2023-03-03,10,5,0,10,0.5,PROGRESS,True,Way debate decision produce church community avoid.,2022-05-07
CTR-2020-000065,COST_PLUS,APPROVED,VND-000930,PRJ-2023-00213,EMP-000983,Electrical & Instrumentation,3398309.75,3085665.25,0.908,0,USD,2020-03-26,2025-02-28,60,10,0,15,1.0,PROGRESS,False,Impact ready like allow explain executive.,2020-03-26
CTR-2019-000066,REMEASURE,DRAFT,VND-000023,PRJ-2022-00367,EMP-000381,Road & Infrastructure,7681766.12,8406924.84,1.0944,0,USD,2019-01-05,2023-02-13,50,5,0,0,5.0,PROGRESS,True,Author do enough social operation sound cup boy different chance enter.,2019-01-05
CTR-2019-000067,REMEASURE,APPROVED,VND-000069,PRJ-2020-00745,EMP-000879,Mechanical Installation,901652.81,857291.49,0.9508,0,USD,2019-08-28,2021-12-15,28,5,0,20,5.0,MONTHLY,True,Author coach film see notice eye buy.,2019-08-28
CTR-2020-000068,LUMP_SUM,ACTIVE,VND-000985,PRJ-2024-00562,EMP-000570,Structural Steel Erection,4525774.8,4482779.94,0.9905,0,USD,2020-08-17,2023-12-30,41,5,0,0,1.0,COMPLETION,False,Record wall matter management ball always it focus economy.,2020-08-17
CTR-2022-000069,LUMP_SUM,ACTIVE,VND-000691,PRJ-2020-00748,EMP-000141,Mechanical Installation,1727963.38,1652451.38,0.9563,0,EUR,2022-06-05,2026-03-16,46,5,0,0,0.5,COMPLETION,True,Director purpose team onto again share start.,2022-06-05
CTR-2024-000070,LUMP_SUM,APPROVED,VND-000091,PRJ-2021-00601,EMP-000929,Fire Fighting Systems,381673.33,412512.54,1.0808,0,USD,2024-11-25,2027-05-14,30,10,0,15,2.0,MONTHLY,True,American series like prepare trouble consider one play man before girl four prove.,2024-11-25
CTR-2020-000071,LUMP_SUM,ACTIVE,VND-000166,PRJ-2019-00359,EMP-000926,Civil Works,1727340.34,1699357.43,0.9838,0,EUR,2020-07-28,2023-09-11,38,10,0,30,2.0,MILESTONE,True,Form really explain war spend nearly lawyer fire.,2020-07-28
CTR-2021-000072,TURNKEY,ACTIVE,VND-000286,PRJ-2019-00891,EMP-000218,Road & Infrastructure,10089994.52,10929482.06,1.0832,1,USD,2021-12-21,2022-04-20,4,0,5,20,5.0,PROGRESS,True,Break significant ten stay ability thank left approach million performance.,2021-12-21
CTR-2021-000073,COST_PLUS,COMPLETED,VND-000950,PRJ-2024-00611,EMP-000127,Road & Infrastructure,951943.48,1182028.22,1.2417,1,USD,2021-10-02,2025-07-13,46,0,10,20,5.0,COMPLETION,True,Personal service data near until just recognize building win participant dream citizen.,2021-10-02
CTR-2020-000074,COST_PLUS,UNDER_NEGOTIATION,VND-000715,PRJ-2021-00114,EMP-000475,Civil Works,10500836.55,11961502.91,1.1391,1,USD,2020-11-10,2021-04-09,5,0,15,30,0.5,MILESTONE,True,Add impact different success box water positive child usually factor relate indeed lot.,2020-11-10
CTR-2020-000075,COST_PLUS,COMPLETED,VND-000473,PRJ-2020-00336,EMP-000176,Transportation & Logistics,50000.0,40195.0,0.8039,0,USD,2020-07-18,2024-06-27,48,0,10,0,5.0,MONTHLY,True,During necessary himself two meet these tell everybody so increase various meet.,2020-07-18
CTR-2022-000076,TURNKEY,COMPLETED,VND-000965,PRJ-2023-00440,EMP-000947,Structural Steel Erection,3446444.77,3454026.95,1.0022,0,USD,2022-07-01,2024-05-21,23,0,15,15,0.5,MONTHLY,True,Executive fear only your majority chance.,2022-07-01
CTR-2023-000077,REMEASURE,UNDER_NEGOTIATION,VND-000504,PRJ-2019-00764,EMP-000595,Engineering Design,1144605.51,1042506.7,0.9108,0,USD,2023-11-04,2026-10-19,36,10,5,15,2.0,MILESTONE,True,Machine forward several help usually thank wonder draw him task improve fish.,2023-11-04
CTR-2020-000078,LUMP_SUM,APPROVED,VND-000245,PRJ-2024-00779,EMP-000111,Road & Infrastructure,641451.58,569993.87,0.8886,0,USD,2020-10-25,2024-02-07,40,5,10,15,1.0,MONTHLY,True,Relate specific history professional star wonder manager already maybe opportunity thank them.,2020-10-25
CTR-2024-000079,LUMP_SUM,ACTIVE,VND-000085,PRJ-2021-00361,EMP-000845,Road & Infrastructure,1152727.19,964947.93,0.8371,0,USD,2024-01-12,2028-08-18,56,5,0,0,5.0,MONTHLY,True,Between treat address century that wide avoid sit enter perhaps however.,2024-01-12
CTR-2023-000080,REMEASURE,ACTIVE,VND-000794,PRJ-2022-00514,EMP-000225,Engineering Design,50952.37,65162.99,1.2789,2,USD,2023-06-23,2024-02-18,8,10,5,0,1.0,COMPLETION,False,System system teacher here first responsibility service.,2023-06-23
CTR-2023-000081,REMEASURE,APPROVED,VND-000608,PRJ-2024-00940,EMP-000472,Mechanical Installation,722514.07,717962.23,0.9937,0,EUR,2023-01-26,2026-08-08,43,10,10,0,2.0,COMPLETION,True,Along attention piece TV young section its better plant their kitchen really.,2023-01-26
CTR-2024-000082,TURNKEY,TERMINATED,VND-000238,PRJ-2019-00342,EMP-000120,HVAC Installation,1716278.53,1873146.39,1.0914,0,SAR,2024-05-21,2028-03-31,47,10,15,10,0.5,COMPLETION,True,Animal someone fall hear certainly most.,2024-05-21
CTR-2021-000083,COST_PLUS,COMPLETED,VND-000883,PRJ-2023-00096,EMP-000718,Electrical & Instrumentation,9219589.46,9719291.21,1.0542,0,USD,2021-03-07,2023-02-25,24,5,5,10,1.0,MONTHLY,True,Radio conference company participant him raise marriage on discussion point least project together.,2021-03-07
CTR-2019-000084,REMEASURE,ACTIVE,VND-000883,PRJ-2021-00039,EMP-000585,Structural Steel Erection,461664.94,571633.53,1.2382,2,USD,2019-07-05,2020-07-29,13,0,5,20,0.5,PROGRESS,True,Top quality citizen kid generation onto police interesting economic suddenly current.,2019-07-05
CTR-2020-000085,EPC,SUSPENDED,VND-000741,PRJ-2023-00240,EMP-000903,Scaffolding Services,298719.29,274702.26,0.9196,0,SAR,2020-04-12,2024-01-22,46,10,15,20,2.0,COMPLETION,True,Table blood high grow fast recognize against stop how account.,2020-04-12
CTR-2022-000086,EPC,COMPLETED,VND-000217,PRJ-2022-00894,EMP-000419,Scaffolding Services,473243.07,390946.1,0.8261,0,SAR,2022-09-04,2026-08-14,48,10,0,15,0.5,MILESTONE,True,Treat seat strategy total simply discover.,2022-09-04
CTR-2023-000087,LUMP_SUM,ACTIVE,VND-000357,PRJ-2021-00837,EMP-000769,Piping & Fabrication,3965344.03,4926146.89,1.2423,0,USD,2023-07-17,2025-09-04,26,0,15,0,2.0,MONTHLY,True,Despite couple economy sense should race carry best physical always.,2023-07-17
CTR-2019-000088,COST_PLUS,COMPLETED,VND-000230,PRJ-2020-00141,EMP-000044,Catering & Camp Services,1644795.58,1551700.15,0.9434,0,EUR,2019-03-25,2023-03-04,48,5,15,30,0.5,MONTHLY,True,Almost half capital travel force indeed customer skill theory hand maybe.,2019-03-25
CTR-2020-000089,COST_PLUS,ACTIVE,VND-000884,PRJ-2020-00434,EMP-000167,Transportation & Logistics,453776.33,539131.66,1.1881,1,USD,2020-01-08,2022-05-27,29,10,15,0,0.5,COMPLETION,True,Store either station loss southern second full boy while.,2020-01-08
CTR-2019-000090,REMEASURE,ACTIVE,VND-000228,PRJ-2022-00299,EMP-000739,Mechanical Installation,2169269.75,1737151.22,0.8008,0,USD,2019-07-06,2023-03-17,45,10,0,30,2.0,MONTHLY,True,Senior difficult put purpose however suffer newspaper.,2019-07-06
CTR-2022-000091,LUMP_SUM,ACTIVE,VND-000609,PRJ-2024-00260,EMP-000018,Fire Fighting Systems,1161957.13,1136975.05,0.9785,0,USD,2022-12-22,2026-07-04,43,0,10,10,0.5,PROGRESS,False,So add Mr lawyer pull public once.,2022-12-22
CTR-2020-000092,COST_PLUS,COMPLETED,VND-000799,PRJ-2023-00647,EMP-000285,Fire Fighting Systems,4295023.07,5178509.32,1.2057,0,EUR,2020-08-02,2022-04-24,21,0,0,10,0.5,PROGRESS,True,Board doctor agent this no trip determine as statement travel.,2020-08-02
CTR-2023-000093,REMEASURE,DRAFT,VND-000302,PRJ-2020-00293,EMP-000618,Catering & Camp Services,350431.44,431416.15,1.2311,0,SAR,2023-06-09,2024-04-04,10,5,15,20,5.0,COMPLETION,True,Power bring animal also you break doctor Mr home.,2023-06-09
CTR-2020-000094,REMEASURE,ACTIVE,VND-000869,PRJ-2022-00274,EMP-000125,Commissioning Support,614464.71,714929.69,1.1635,0,USD,2020-03-18,2021-12-08,21,5,0,0,2.0,PROGRESS,True,Provide sea watch industry score choice increase between majority impact.,2020-03-18
CTR-2023-000095,COST_PLUS,APPROVED,VND-000735,PRJ-2024-00360,EMP-000765,Painting & Coatings,557845.75,458102.93,0.8212,0,EUR,2023-07-09,2027-01-19,43,0,0,20,2.0,MILESTONE,False,Allow have kitchen wear talk between rate name within.,2023-07-09
CTR-2020-000096,COST_PLUS,COMPLETED,VND-000725,PRJ-2020-00036,EMP-000188,Road & Infrastructure,111829.15,93220.78,0.8336,0,USD,2020-10-02,2024-02-14,41,0,15,15,2.0,MONTHLY,True,Art every why we station begin deep police wife anything.,2020-10-02
CTR-2023-000097,LUMP_SUM,ACTIVE,VND-000458,PRJ-2022-00256,EMP-000172,Insulation Works,1566227.49,1273342.95,0.813,0,USD,2023-07-18,2024-05-13,10,5,10,20,1.0,PROGRESS,True,During call north attention share debate democratic thank forget challenge.,2023-07-18
