performance_id,vendor_id,project_id,evaluation_period,evaluator_id,delivery_score,quality_score,commercial_score,hse_score,composite_score,recommendation,delivery_metric_focus,quality_metric_focus,commercial_metric_focus,hse_metric_focus,po_count_evaluated,total_value_evaluated,corrective_actions,improvement_trend,evaluation_date,remarks,created_date
PERF-VND-000274-202009,VND-000274,PRJ-2023-00807,202009,EMP-000799,65.3,83.7,71.0,58.81,70.66,APPROVED,ON_TIME_DELIVERY_RATE,REWORK_RATE,PRICE_COMPETITIVENESS,SAFETY_AUDIT_SCORE,8,73704.35,0,STABLE,2020-09-07,,2020-09-07
PERF-VND-000841-202106,VND-000841,PRJ-2022-00229,202106,EMP-000023,77.78,55.86,70.15,75.76,69.27,APPROVED,LEAD_TIME_VARIANCE,REWORK_RATE,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,3,15190.65,0,STABLE,2021-06-25,,2021-06-25
PERF-VND-000522-202304,VND-000522,PRJ-2023-00696,202304,EMP-000940,77.37,78.97,83.16,88.7,81.27,PREFERRED,SCHEDULE_ADHERENCE,NCR_COUNT,PRICE_COMPETITIVENESS,INCIDENT_RATE,9,11462.05,0,DECLINING,2023-04-06,,2023-04-06
PERF-VND-000272-201905,VND-000272,PRJ-2023-00112,201905,EMP-000678,57.93,78.24,75.19,81.7,72.23,APPROVED,DOCUMENTATION_ACCURACY,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,20,6096819.43,0,IMPROVING,2019-05-17,,2019-05-17
PERF-VND-000591-202101,VND-000591,PRJ-2022-00261,202101,EMP-000044,80.56,88.17,81.36,83.47,83.59,PREFERRED,DOCUMENTATION_ACCURACY,DEFECT_RATE,INVOICE_ACCURACY,HSE_COMPLIANCE,14,41014.33,0,DECLINING,2021-01-03,,2021-01-03
PERF-VND-000639-202205,VND-000639,PRJ-2024-00680,202205,EMP-000946,83.38,57.63,64.68,68.69,68.98,APPROVED,ON_TIME_DELIVERY_RATE,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,11,66055.39,0,DECLINING,2022-05-13,,2022-05-13
PERF-VND-000131-202101,VND-000131,PRJ-2024-00431,202101,EMP-000759,100.0,40.12,77.61,54.03,68.36,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,18,33985.25,0,IMPROVING,2021-01-27,,2021-01-27
PERF-VND-000216-202308,VND-000216,PRJ-2023-00805,202308,EMP-000665,88.33,71.03,52.91,65.7,71.53,APPROVED,SCHEDULE_ADHERENCE,NCR_COUNT,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,15,135336.2,0,IMPROVING,2023-08-22,,2023-08-22
PERF-VND-000813-202010,VND-000813,PRJ-2023-00675,202010,EMP-000089,61.04,73.46,68.64,66.53,67.38,APPROVED,DELIVERY_COMPLETENESS,SPECIFICATION_COMPLIANCE,PAYMENT_TERMS_COMPLIANCE,INCIDENT_RATE,25,784445.92,0,DECLINING,2020-10-08,,2020-10-08
PERF-VND-000826-202102,VND-000826,PRJ-2020-00151,202102,EMP-000023,81.51,37.6,70.61,66.4,63.13,APPROVED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,INCIDENT_RATE,15,166528.21,0,DECLINING,2021-02-14,,2021-02-14
PERF-VND-000736-202302,VND-000736,PRJ-2024-00507,202302,EMP-000485,60.11,68.16,75.07,86.25,70.74,APPROVED,LEAD_TIME_VARIANCE,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,INCIDENT_RATE,25,14180.8,0,IMPROVING,2023-02-14,,2023-02-14
PERF-VND-000981-202407,VND-000981,PRJ-2024-00476,202407,EMP-000054,66.98,62.4,58.85,97.95,70.17,APPROVED,SCHEDULE_ADHERENCE,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,SAFETY_AUDIT_SCORE,5,97341.24,0,STABLE,2024-07-26,,2024-07-26
PERF-VND-000573-202505,VND-000573,PRJ-2024-00325,202505,EMP-000850,53.09,84.69,97.71,88.42,78.56,APPROVED,DOCUMENTATION_ACCURACY,SPECIFICATION_COMPLIANCE,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,6,9669.73,0,STABLE,2025-05-24,,2025-05-24
PERF-VND-000770-202108,VND-000770,PRJ-2020-00861,202108,EMP-000738,64.74,90.27,58.09,80.77,74.28,APPROVED,DELIVERY_COMPLETENESS,SPECIFICATION_COMPLIANCE,CHANGE_ORDER_FREQUENCY,NEAR_MISS_REPORTING,9,151684.94,0,IMPROVING,2021-08-15,,2021-08-15
PERF-VND-000241-202111,VND-000241,PRJ-2024-00344,202111,EMP-000414,58.1,69.05,22.62,61.68,55.0,CONDITIONAL,SCHEDULE_ADHERENCE,DEFECT_RATE,INVOICE_ACCURACY,NEAR_MISS_REPORTING,8,44219.37,1,DECLINING,2021-11-13,,2021-11-13
PERF-VND-000425-202305,VND-000425,PRJ-2024-00339,202305,EMP-000635,53.28,96.12,47.98,69.28,68.27,APPROVED,DOCUMENTATION_ACCURACY,REWORK_RATE,PRICE_COMPETITIVENESS,NEAR_MISS_REPORTING,14,70044.69,0,DECLINING,2023-05-13,,2023-05-13
PERF-VND-000021-202502,VND-000021,PRJ-2023-00390,202502,EMP-000568,93.62,47.03,84.28,75.13,74.08,APPROVED,ON_TIME_DELIVERY_RATE,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,14,18438.38,0,DECLINING,2025-02-18,,2025-02-18
PERF-VND-000820-202506,VND-000820,PRJ-2019-00920,202506,EMP-000266,78.93,73.18,59.6,75.91,72.73,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,16,37707.85,0,STABLE,2025-06-01,,2025-06-01
PERF-VND-000696-202304,VND-000696,PRJ-2019-00742,202304,EMP-000178,73.7,80.59,90.2,58.91,76.11,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,SAFETY_AUDIT_SCORE,19,774242.22,0,DECLINING,2023-04-19,Information last everything thank serve civil.,2023-04-19
PERF-VND-000659-202307,VND-000659,PRJ-2020-00139,202307,EMP-000965,42.72,67.57,76.24,78.65,64.06,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,PRICE_COMPETITIVENESS,HSE_COMPLIANCE,13,28360.73,0,IMPROVING,2023-07-11,,2023-07-11
PERF-VND-000346-202301,VND-000346,PRJ-2019-00285,202301,EMP-000849,68.88,62.11,59.75,86.04,68.45,APPROVED,DOCUMENTATION_ACCURACY,NCR_COUNT,PRICE_COMPETITIVENESS,SAFETY_AUDIT_SCORE,1,91896.53,0,DECLINING,2023-01-24,Future choice whatever from behavior.,2023-01-24
PERF-VND-000975-202209,VND-000975,PRJ-2019-00230,202209,EMP-000746,61.61,84.39,72.3,85.57,75.37,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,PRICE_COMPETITIVENESS,NEAR_MISS_REPORTING,7,127459.58,0,IMPROVING,2022-09-27,,2022-09-27
PERF-VND-000245-202005,VND-000245,PRJ-2021-00485,202005,EMP-000761,59.57,61.04,78.46,82.93,68.46,APPROVED,ON_TIME_DELIVERY_RATE,SPECIFICATION_COMPLIANCE,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,23,58391.06,0,STABLE,2020-05-09,,2020-05-09
PERF-VND-000622-202003,VND-000622,PRJ-2021-00797,202003,EMP-000923,73.76,90.44,59.72,82.11,77.63,APPROVED,LEAD_TIME_VARIANCE,NCR_COUNT,PRICE_COMPETITIVENESS,INCIDENT_RATE,10,46974.91,0,DECLINING,2020-03-19,,2020-03-19
PERF-VND-000385-202303,VND-000385,PRJ-2020-00965,202303,EMP-000812,68.73,87.58,79.56,85.58,79.92,APPROVED,LEAD_TIME_VARIANCE,DEFECT_RATE,INVOICE_ACCURACY,INCIDENT_RATE,23,286809.8,0,STABLE,2023-03-25,,2023-03-25
PERF-VND-000615-202004,VND-000615,PRJ-2024-00816,202004,EMP-000653,72.32,80.91,63.66,79.21,74.54,APPROVED,ON_TIME_DELIVERY_RATE,NCR_COUNT,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,3,51217.08,0,DECLINING,2020-04-17,,2020-04-17
PERF-VND-000870-202306,VND-000870,PRJ-2021-00843,202306,EMP-000579,73.45,79.52,56.54,100.0,77.2,APPROVED,ON_TIME_DELIVERY_RATE,REWORK_RATE,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,23,17903.99,0,STABLE,2023-06-05,,2023-06-05
PERF-VND-000535-202512,VND-000535,PRJ-2021-00277,202512,EMP-000708,53.79,88.53,79.08,83.11,75.13,APPROVED,SCHEDULE_ADHERENCE,REWORK_RATE,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,24,127263.45,0,STABLE,2025-12-19,,2025-12-19
PERF-VND-000252-201912,VND-000252,PRJ-2024-00286,201912,EMP-000992,71.82,55.64,69.06,66.2,65.29,APPROVED,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,11,192941.76,0,STABLE,2019-12-01,,2019-12-01
PERF-VND-000187-202403,VND-000187,PRJ-2024-00218,202403,EMP-000448,69.79,56.79,63.5,80.37,66.75,APPROVED,DELIVERY_COMPLETENESS,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,18,30440.54,0,DECLINING,2024-03-01,,2024-03-01
PERF-VND-000088-202107,VND-000088,PRJ-2019-00738,202107,EMP-000492,59.67,73.9,71.43,68.41,68.04,APPROVED,DOCUMENTATION_ACCURACY,SPECIFICATION_COMPLIANCE,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,21,34021.71,0,STABLE,2021-07-23,,2021-07-23
PERF-VND-000018-201912,VND-000018,PRJ-2019-00302,201912,EMP-000267,75.48,46.83,48.3,65.66,59.48,CONDITIONAL,DOCUMENTATION_ACCURACY,FIRST_PASS_YIELD,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,16,46344.76,2,STABLE,2019-12-18,,2019-12-18
PERF-VND-000564-202207,VND-000564,PRJ-2021-00361,202207,EMP-000799,76.66,93.61,80.01,72.92,81.67,PREFERRED,DOCUMENTATION_ACCURACY,NCR_COUNT,PAYMENT_TERMS_COMPLIANCE,HSE_COMPLIANCE,8,58523.32,0,DECLINING,2022-07-04,,2022-07-04
PERF-VND-000123-202409,VND-000123,PRJ-2020-00974,202409,EMP-000857,56.96,69.7,63.96,79.2,66.63,APPROVED,LEAD_TIME_VARIANCE,FIRST_PASS_YIELD,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,9,22188.35,0,DECLINING,2024-09-24,,2024-09-24
PERF-VND-000538-202505,VND-000538,PRJ-2020-00290,202505,EMP-000108,79.79,94.52,66.48,80.22,81.63,PREFERRED,LEAD_TIME_VARIANCE,NCR_COUNT,INVOICE_ACCURACY,HSE_COMPLIANCE,6,137059.83,0,IMPROVING,2025-05-10,,2025-05-10
PERF-VND-000130-202112,VND-000130,PRJ-2022-00047,202112,EMP-000058,65.98,73.59,68.18,76.27,70.76,APPROVED,SCHEDULE_ADHERENCE,NCR_COUNT,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,4,23680.05,0,IMPROVING,2021-12-28,,2021-12-28
PERF-VND-000481-202402,VND-000481,PRJ-2021-00452,202402,EMP-000433,72.37,77.97,88.32,87.47,80.26,PREFERRED,LEAD_TIME_VARIANCE,DEFECT_RATE,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,4,793190.7,0,IMPROVING,2024-02-27,,2024-02-27
PERF-VND-000076-202502,VND-000076,PRJ-2023-00645,202502,EMP-000775,60.49,83.96,70.57,100.0,77.45,APPROVED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,INVOICE_ACCURACY,HSE_COMPLIANCE,3,22698.23,0,IMPROVING,2025-02-08,,2025-02-08
PERF-VND-000427-202506,VND-000427,PRJ-2024-00611,202506,EMP-000898,59.4,60.41,38.27,68.17,57.23,CONDITIONAL,SCHEDULE_ADHERENCE,FIRST_PASS_YIELD,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,15,24077.69,3,STABLE,2025-06-10,,2025-06-10
PERF-VND-000062-202507,VND-000062,PRJ-2020-00984,202507,EMP-000830,74.26,75.47,94.27,87.36,81.25,PREFERRED,ON_TIME_DELIVERY_RATE,FIRST_PASS_YIELD,INVOICE_ACCURACY,HSE_COMPLIANCE,22,29962.91,0,IMPROVING,2025-07-03,,2025-07-03
PERF-VND-000566-201910,VND-000566,PRJ-2020-00161,201910,EMP-000002,58.52,77.87,49.52,98.81,70.58,APPROVED,DOCUMENTATION_ACCURACY,REWORK_RATE,CHANGE_ORDER_FREQUENCY,HSE_COMPLIANCE,2,246551.99,0,STABLE,2019-10-08,,2019-10-08
PERF-VND-000720-202311,VND-000720,PRJ-2022-00073,202311,EMP-000775,64.96,42.59,86.95,73.51,64.36,APPROVED,LEAD_TIME_VARIANCE,NCR_COUNT,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,4,264442.62,0,IMPROVING,2023-11-18,,2023-11-18
PERF-VND-000931-202111,VND-000931,PRJ-2023-00847,202111,EMP-000147,48.08,60.41,68.07,75.61,61.28,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,INVOICE_ACCURACY,HSE_COMPLIANCE,20,34888.81,0,DECLINING,2021-11-24,,2021-11-24
PERF-VND-000450-202004,VND-000450,PRJ-2023-00480,202004,EMP-000777,81.34,52.92,66.01,76.56,68.79,APPROVED,DELIVERY_COMPLETENESS,REWORK_RATE,PAYMENT_TERMS_COMPLIANCE,SAFETY_AUDIT_SCORE,15,111004.56,0,DECLINING,2020-04-03,Grow gas enough.,2020-04-03
PERF-VND-000443-202206,VND-000443,PRJ-2022-00619,202206,EMP-000317,82.67,52.01,46.52,91.61,68.03,APPROVED,ON_TIME_DELIVERY_RATE,DEFECT_RATE,INVOICE_ACCURACY,INCIDENT_RATE,25,89212.53,0,STABLE,2022-06-22,,2022-06-22
PERF-VND-000782-202011,VND-000782,PRJ-2021-00482,202011,EMP-000606,60.77,94.82,69.62,90.33,78.67,APPROVED,DOCUMENTATION_ACCURACY,NCR_COUNT,INVOICE_ACCURACY,SAFETY_AUDIT_SCORE,21,64927.22,0,STABLE,2020-11-27,,2020-11-27
PERF-VND-000482-202209,VND-000482,PRJ-2024-00419,202209,EMP-000426,100.0,98.09,64.51,87.63,89.86,PREFERRED,DELIVERY_COMPLETENESS,DEFECT_RATE,INVOICE_ACCURACY,HSE_COMPLIANCE,14,129891.03,0,STABLE,2022-09-23,,2022-09-23
PERF-VND-000968-202304,VND-000968,PRJ-2020-00834,202304,EMP-000856,92.53,54.56,77.6,88.76,77.4,APPROVED,SCHEDULE_ADHERENCE,DEFECT_RATE,CHANGE_ORDER_FREQUENCY,INCIDENT_RATE,11,7255.48,0,STABLE,2023-04-09,,2023-04-09
PERF-VND-000792-202304,VND-000792,PRJ-2019-00886,202304,EMP-000603,54.25,37.37,64.23,84.33,57.2,CONDITIONAL,ON_TIME_DELIVERY_RATE,SPECIFICATION_COMPLIANCE,CHANGE_ORDER_FREQUENCY,SAFETY_AUDIT_SCORE,2,363243.42,2,DECLINING,2023-04-07,,2023-04-07
