budget_id,project_id,wbs_code,cost_type,budget_version,budget_status,original_amount,revised_amount,contingency_pct,contingency_amount,committed_amount,actual_spent,remaining_budget,currency,period_start,period_end,budget_owner_id,approval_date,notes,created_date
BDG-PRJ-2022-00527-04.03-REV1,PRJ-2022-00527,4.03,MATERIAL,REV1,SUBMITTED,80935.3,87282.02,0.1436,0.0,50938.02,45452.49,41829.53,SAR,2025-07-01,2026-01-04,EMP-000728,,,2025-05-19
BDG-PRJ-2023-00479-01.01-ORIGINAL,PRJ-2023-00479,1.01,SUBCONTRACT,ORIGINAL,CLOSED,233968.88,233968.88,0.0609,0.0,97086.33,74576.17,159392.71,SAR,2020-07-01,2020-12-31,EMP-000458,2020-06-22,,2020-05-05
BDG-PRJ-2022-00877-02.01-REV1,PRJ-2022-00877,2.01,EQUIPMENT,REV1,DRAFT,10000.0,11514.26,0.0593,0.0,5087.32,3577.44,7936.82,EUR,2022-04-01,2023-01-21,EMP-000294,,,2022-02-18
BDG-PRJ-2019-00272-08.03-REV1,PRJ-2019-00272,8.03,CONTINGENCY,REV1,FROZEN,12241.94,13923.53,0.1056,1292.75,5470.25,3546.66,10376.87,USD,2019-10-01,2020-01-30,EMP-000105,2019-09-23,,2019-08-16
BDG-PRJ-2023-00942-03.01-REV3,PRJ-2023-00942,3.01,LABOUR,REV3,APPROVED,70022.28,78430.91,0.1095,0.0,34597.63,19372.71,59058.2,USD,2023-04-01,2023-07-20,EMP-000705,2023-03-04,,2023-02-14
BDG-PRJ-2019-00324-05.02-REV1,PRJ-2019-00324,5.02,MATERIAL,REV1,APPROVED,35623.23,39477.67,0.0631,0.0,22673.4,21868.7,17608.97,USD,2019-01-01,2019-11-21,EMP-000953,2018-12-22,Quality throughout beautiful.,2018-11-26
BDG-PRJ-2021-00519-05.02-REV3,PRJ-2021-00519,5.02,OVERHEAD,REV3,CLOSED,260763.98,238103.26,0.087,0.0,190541.41,162297.45,75805.81,SAR,2023-11-01,2024-10-26,EMP-000940,2023-10-16,,2023-09-29
BDG-PRJ-2019-00962-03.03-ORIGINAL,PRJ-2019-00962,3.03,LABOUR,ORIGINAL,ACTIVE,41687.8,41687.8,0.0772,0.0,27634.75,23732.89,17954.91,SAR,2020-11-01,2021-06-14,EMP-000462,2020-10-24,All behavior discussion own night.,2020-09-19
BDG-PRJ-2024-00850-05.01-ORIGINAL,PRJ-2024-00850,5.01,SUBCONTRACT,ORIGINAL,ACTIVE,19565.92,19565.92,0.0762,0.0,14571.49,11305.15,8260.77,SAR,2022-09-01,2022-12-04,EMP-000262,2022-08-08,Information last everything thank serve civil.,2022-07-22
BDG-PRJ-2020-00597-03.04-ORIGINAL,PRJ-2020-00597,3.04,MATERIAL,ORIGINAL,CLOSED,1466623.17,1466623.17,0.1296,0.0,1197382.76,1136869.81,329753.36,USD,2020-11-01,2021-06-06,EMP-000609,2020-10-08,,2020-09-19
BDG-PRJ-2020-00998-03.02-REV2,PRJ-2020-00998,3.02,CONTINGENCY,REV2,CLOSED,115998.85,99749.1,0.1381,16019.44,74007.72,49296.0,50453.1,SAR,2022-11-01,2023-06-06,EMP-000191,2022-10-13,,2022-09-05
BDG-PRJ-2021-00482-04.02-REV2,PRJ-2021-00482,4.02,MATERIAL,REV2,APPROVED,180104.46,169485.18,0.1295,0.0,53252.02,31768.29,137716.89,EUR,2021-05-01,2021-09-03,EMP-000497,2021-04-13,,2021-03-20
BDG-PRJ-2023-00696-06.01-ORIGINAL,PRJ-2023-00696,6.01,CONTINGENCY,ORIGINAL,APPROVED,19204.07,19204.07,0.1463,2809.56,8820.04,4888.08,14315.99,SAR,2022-06-01,2023-02-06,EMP-000868,2022-05-22,,2022-04-14
BDG-PRJ-2022-00195-05.01-REV2,PRJ-2022-00195,5.01,LABOUR,REV2,CLOSED,71928.36,81838.07,0.1038,0.0,60983.28,50940.2,30897.87,EUR,2021-07-01,2021-11-03,EMP-000573,2021-06-05,,2021-05-05
BDG-PRJ-2024-00128-05.05-ORIGINAL,PRJ-2024-00128,5.05,MATERIAL,ORIGINAL,ACTIVE,192217.7,192217.7,0.0796,0.0,72345.49,51381.44,140836.26,USD,2022-11-01,2023-04-29,EMP-000533,2022-10-13,,2022-10-02
BDG-PRJ-2023-00312-05.02-REV1,PRJ-2023-00312,5.02,EQUIPMENT,REV1,ACTIVE,28955.33,29733.18,0.0965,0.0,12732.37,9378.58,20354.6,USD,2025-12-01,2026-05-26,EMP-000504,2025-11-08,,2025-10-13
BDG-PRJ-2024-00344-02.02-REV1,PRJ-2024-00344,2.02,MATERIAL,REV1,APPROVED,285942.79,271055.76,0.0524,0.0,158589.79,146674.76,124381.0,USD,2019-08-01,2020-05-29,EMP-000979,2019-07-19,,2019-06-20
BDG-PRJ-2024-00507-07.02-ORIGINAL,PRJ-2024-00507,7.02,SUBCONTRACT,ORIGINAL,CLOSED,66107.8,66107.8,0.136,0.0,54954.03,48865.68,17242.12,SAR,2020-03-01,2021-02-19,EMP-000946,2020-02-16,,2020-01-28
BDG-PRJ-2021-00468-03.04-REV1,PRJ-2021-00468,3.04,CONTINGENCY,REV1,ACTIVE,105078.12,126784.15,0.145,15236.33,84640.01,72759.68,54024.47,USD,2023-07-01,2024-05-14,EMP-000786,2023-06-10,,2023-05-25
BDG-PRJ-2020-00861-05.05-REV1,PRJ-2020-00861,5.05,MATERIAL,REV1,ACTIVE,66001.98,62292.5,0.1214,0.0,31240.22,29569.29,32723.21,SAR,2019-03-01,2019-08-15,EMP-000266,2019-01-31,,2019-01-17
BDG-PRJ-2023-00418-06.05-REV1,PRJ-2023-00418,6.05,LABOUR,REV1,CLOSED,2619298.98,3032934.25,0.0889,0.0,2631486.64,1341442.36,1691491.89,SAR,2025-10-01,2026-07-12,EMP-000608,2025-09-15,,2025-08-05
BDG-PRJ-2022-00914-07.05-REV2,PRJ-2022-00914,7.05,EQUIPMENT,REV2,ACTIVE,159492.82,149567.37,0.0721,0.0,83982.32,43209.95,106357.42,USD,2021-11-01,2022-08-25,EMP-000772,2021-10-21,,2021-09-15
BDG-PRJ-2020-00028-07.05-REV1,PRJ-2020-00028,7.05,LABOUR,REV1,ACTIVE,33304.03,34458.99,0.0636,0.0,11377.35,7845.27,26613.72,SAR,2020-08-01,2021-04-15,EMP-000651,2020-07-17,,2020-06-06
BDG-PRJ-2020-00432-05.01-REV1,PRJ-2020-00432,5.01,SUBCONTRACT,REV1,SUBMITTED,558951.15,525240.17,0.1452,0.0,179196.73,175369.59,349870.58,SAR,2019-01-01,2019-08-05,EMP-000045,,,2018-11-25
BDG-PRJ-2021-00130-08.01-REV1,PRJ-2021-00130,8.01,MATERIAL,REV1,ACTIVE,26075.06,23913.85,0.1267,0.0,15887.13,13884.76,10029.09,SAR,2019-03-01,2019-11-05,EMP-000068,2019-02-13,,2019-01-01
BDG-PRJ-2019-00982-07.04-REV3,PRJ-2019-00982,7.04,LABOUR,REV3,ACTIVE,222636.44,210867.82,0.1331,0.0,151469.69,98575.16,112292.66,USD,2024-10-01,2025-03-01,EMP-000958,2024-09-23,,2024-08-19
BDG-PRJ-2020-00678-06.01-REV1,PRJ-2020-00678,6.01,MATERIAL,REV1,CLOSED,10000.0,8922.16,0.1322,0.0,7820.03,6395.16,2527.0,SAR,2025-08-01,2026-01-16,EMP-000885,2025-07-05,,2025-06-07
BDG-PRJ-2023-00942-08.04-REV1,PRJ-2023-00942,8.04,SUBCONTRACT,REV1,APPROVED,22197.19,26243.57,0.1352,0.0,9237.68,8690.95,17552.62,SAR,2020-08-01,2021-05-12,EMP-000848,2020-07-15,,2020-06-26
BDG-PRJ-2024-00364-05.03-ORIGINAL,PRJ-2024-00364,5.03,EQUIPMENT,ORIGINAL,CLOSED,218664.06,218664.06,0.1056,0.0,133379.91,79431.5,139232.56,SAR,2020-12-01,2021-09-25,EMP-000448,2020-11-02,,2020-10-10
BDG-PRJ-2021-00503-08.01-ORIGINAL,PRJ-2021-00503,8.01,MATERIAL,ORIGINAL,ACTIVE,492721.74,492721.74,0.0806,0.0,319743.57,235532.78,257188.96,EUR,2023-06-01,2024-04-03,EMP-000936,2023-05-15,,2023-04-18
BDG-PRJ-2019-00278-05.03-ORIGINAL,PRJ-2019-00278,5.03,SUBCONTRACT,ORIGINAL,APPROVED,210460.32,210460.32,0.1243,0.0,183211.29,154828.52,55631.8,SAR,2020-04-01,2021-03-04,EMP-001000,2020-03-09,,2020-02-28
BDG-PRJ-2023-00853-04.03-ORIGINAL,PRJ-2023-00853,4.03,LABOUR,ORIGINAL,DRAFT,136834.52,136834.52,0.1034,0.0,63571.51,62754.45,74080.07,USD,2023-05-01,2023-10-02,EMP-000836,,,2023-04-01
BDG-PRJ-2021-00588-05.04-REV1,PRJ-2021-00588,5.04,MATERIAL,REV1,FROZEN,103605.37,123776.22,0.0752,0.0,45605.63,24292.83,99483.39,SAR,2022-02-01,2022-05-29,EMP-000953,2022-01-16,Future choice whatever from behavior.,2021-12-26
BDG-PRJ-2023-00122-07.05-REV1,PRJ-2023-00122,7.05,EQUIPMENT,REV1,ACTIVE,17715.89,21496.49,0.088,0.0,10284.18,8168.34,13328.15,USD,2022-05-01,2022-08-29,EMP-000177,2022-04-18,,2022-03-24
BDG-PRJ-2019-00677-02.02-ORIGINAL,PRJ-2019-00677,2.02,EQUIPMENT,ORIGINAL,APPROVED,55283.72,55283.72,0.0909,0.0,39451.72,28995.29,26288.43,USD,2019-04-01,2019-11-24,EMP-000757,2019-03-23,,2019-02-01
BDG-PRJ-2023-00271-04.04-ORIGINAL,PRJ-2023-00271,4.04,MATERIAL,ORIGINAL,SUBMITTED,81555.73,81555.73,0.0766,0.0,31426.83,16650.53,64905.2,SAR,2025-05-01,2025-12-24,EMP-000772,,,2025-03-10
BDG-PRJ-2022-00413-05.05-REV1,PRJ-2022-00413,5.05,MATERIAL,REV1,ACTIVE,794670.89,908955.35,0.1389,0.0,601935.85,308752.43,600202.92,EUR,2020-11-01,2021-02-09,EMP-000487,2020-10-07,Grow gas enough.,2020-09-08
BDG-PRJ-2024-00180-08.05-REV1,PRJ-2024-00180,8.05,OVERHEAD,REV1,APPROVED,272509.14,300826.62,0.1085,0.0,179002.51,97667.56,203159.06,SAR,2021-07-01,2022-03-18,EMP-000184,2021-06-19,,2021-05-10
BDG-PRJ-2024-00508-05.04-REV2,PRJ-2024-00508,5.04,EQUIPMENT,REV2,ACTIVE,11561.54,11322.33,0.0815,0.0,9987.55,7012.13,4310.2,SAR,2023-01-01,2023-11-23,EMP-000334,2022-12-09,,2022-11-08
BDG-PRJ-2020-00511-08.01-ORIGINAL,PRJ-2020-00511,8.01,EQUIPMENT,ORIGINAL,CLOSED,264640.07,264640.07,0.0938,0.0,190262.98,106682.93,157957.14,USD,2024-10-01,2025-05-01,EMP-000545,2024-09-07,Role movie win.,2024-08-19
BDG-PRJ-2023-00096-04.01-REV1,PRJ-2023-00096,4.01,LABOUR,REV1,CLOSED,91342.97,103824.19,0.0998,0.0,62847.19,40015.59,63808.6,SAR,2025-08-01,2026-06-28,EMP-000937,2025-07-21,,2025-06-03
BDG-PRJ-2019-00614-03.01-ORIGINAL,PRJ-2019-00614,3.01,SUBCONTRACT,ORIGINAL,ACTIVE,58960.15,58960.15,0.1434,0.0,35649.82,32451.13,26509.02,USD,2021-12-01,2022-07-31,EMP-000984,2021-11-03,,2021-10-28
BDG-PRJ-2019-00458-08.03-ORIGINAL,PRJ-2019-00458,8.03,SUBCONTRACT,ORIGINAL,APPROVED,407385.19,407385.19,0.1433,0.0,334773.27,331555.2,75829.99,SAR,2020-10-01,2021-07-14,EMP-000685,2020-09-23,,2020-08-17
BDG-PRJ-2023-00723-07.04-REV3,PRJ-2023-00723,7.04,SUBCONTRACT,REV3,ACTIVE,764134.64,944416.75,0.0652,0.0,354862.48,348715.12,595701.63,SAR,2021-02-01,2021-12-13,EMP-000759,2021-01-25,,2020-12-20
BDG-PRJ-2019-00892-03.01-REV1,PRJ-2019-00892,3.01,CONTINGENCY,REV1,APPROVED,657973.66,730307.77,0.1193,78496.26,592322.82,548592.02,181715.75,EUR,2025-09-01,2026-06-12,EMP-000828,2025-08-08,Bad fall pick those gun.,2025-07-31
BDG-PRJ-2020-00241-05.02-REV2,PRJ-2020-00241,5.02,MATERIAL,REV2,SUBMITTED,46220.27,55419.57,0.1134,0.0,31378.96,26578.0,28841.57,USD,2019-01-01,2019-09-14,EMP-000517,,,2018-11-19
BDG-PRJ-2021-00150-04.05-REV1,PRJ-2021-00150,4.05,SUBCONTRACT,REV1,APPROVED,102352.85,111953.21,0.0675,0.0,59282.2,49889.96,62063.25,SAR,2022-10-01,2023-03-13,EMP-000467,2022-09-10,,2022-09-01
BDG-PRJ-2024-00921-08.03-REV1,PRJ-2024-00921,8.03,LABOUR,REV1,ACTIVE,267505.43,290251.06,0.0846,0.0,198346.9,141253.63,148997.43,SAR,2021-08-01,2022-04-02,EMP-000653,2021-07-10,,2021-06-20
BDG-PRJ-2020-00586-06.05-ORIGINAL,PRJ-2020-00586,6.05,SUBCONTRACT,ORIGINAL,DRAFT,703144.5,703144.5,0.133,0.0,377928.53,190494.49,512650.01,EUR,2025-11-01,2026-02-24,EMP-000849,,,2025-09-04
BDG-PRJ-2022-00294-04.05-REV2,PRJ-2022-00294,4.05,MATERIAL,REV2,APPROVED,79319.45,91394.32,0.0751,0.0,69503.78,58412.89,32981.43,EUR,2020-11-01,2021-03-20,EMP-000081,2020-10-16,,2020-10-01
BDG-PRJ-2022-00594-06.02-ORIGINAL,PRJ-2022-00594,6.02,MATERIAL,ORIGINAL,ACTIVE,123193.5,123193.5,0.0676,0.0,46726.79,35965.79,87227.71,EUR,2021-09-01,2022-08-13,EMP-000294,2021-08-17,,2021-07-03
BDG-PRJ-2023-00494-05.03-REV2,PRJ-2023-00494,5.03,MATERIAL,REV2,SUBMITTED,30961.43,29111.36,0.1254,0.0,20546.63,17201.7,11909.66,SAR,2022-09-01,2023-06-05,EMP-000667,,Relate animal direction eye.,2022-07-16
BDG-PRJ-2021-00127-08.03-REV1,PRJ-2021-00127,8.03,SUBCONTRACT,REV1,ACTIVE,27056.7,33174.67,0.1322,0.0,12109.01,7470.18,25704.49,EUR,2019-10-01,2020-06-14,EMP-000415,2019-09-04,Talk term herself.,2019-08-06
BDG-PRJ-2024-00476-05.04-ORIGINAL,PRJ-2024-00476,5.04,LABOUR,ORIGINAL,DRAFT,550613.69,550613.69,0.1496,0.0,203546.62,125669.69,424944.0,SAR,2023-03-01,2023-12-14,EMP-000910,,,2023-01-07
BDG-PRJ-2020-00745-03.04-REV1,PRJ-2020-00745,3.04,SUBCONTRACT,REV1,ACTIVE,1244643.92,1197218.08,0.1439,0.0,855015.32,520392.11,676825.97,SAR,2022-04-01,2023-01-01,EMP-000639,2022-03-08,,2022-02-10
BDG-PRJ-2023-00368-01.04-ORIGINAL,PRJ-2023-00368,1.04,CONTINGENCY,ORIGINAL,CLOSED,146090.97,146090.97,0.1324,19342.44,51862.89,31431.66,114659.31,SAR,2024-10-01,2025-01-09,EMP-000576,2024-09-17,,2024-08-07
BDG-PRJ-2023-00579-04.01-REV2,PRJ-2023-00579,4.01,EQUIPMENT,REV2,ACTIVE,733292.06,691640.68,0.1313,0.0,528843.09,472955.94,218684.74,USD,2023-01-01,2023-08-20,EMP-000260,2022-12-21,,2022-11-07
BDG-PRJ-2021-00179-02.01-ORIGINAL,PRJ-2021-00179,2.01,MATERIAL,ORIGINAL,ACTIVE,279974.56,279974.56,0.1089,0.0,86643.35,54817.84,225156.72,SAR,2020-12-01,2021-10-02,EMP-000118,2020-11-09,,2020-10-21
BDG-PRJ-2023-00526-02.04-REV1,PRJ-2023-00526,2.04,OVERHEAD,REV1,DRAFT,61840.91,74010.73,0.1283,0.0,45359.01,33067.68,40943.05,USD,2019-01-01,2019-12-02,EMP-000713,,,2018-11-17
BDG-PRJ-2019-00730-08.01-REV2,PRJ-2019-00730,8.01,MATERIAL,REV2,SUBMITTED,279873.62,307784.58,0.0626,0.0,200435.11,171587.77,136196.81,SAR,2022-10-01,2023-09-27,EMP-000857,,,2022-08-29
BDG-PRJ-2019-00813-02.05-REV2,PRJ-2019-00813,2.05,MATERIAL,REV2,ACTIVE,1634838.94,1611252.54,0.0728,0.0,921796.52,652627.17,958625.37,SAR,2019-06-01,2020-04-04,EMP-000467,2019-05-14,,2019-04-11
BDG-PRJ-2024-00946-08.01-ORIGINAL,PRJ-2024-00946,8.01,LABOUR,ORIGINAL,ACTIVE,154239.36,154239.36,0.1245,0.0,80757.9,45632.88,108606.48,USD,2019-10-01,2020-06-15,EMP-000685,2019-09-13,,2019-08-02
BDG-PRJ-2024-00769-07.01-REV3,PRJ-2024-00769,7.01,EQUIPMENT,REV3,APPROVED,1701405.93,1590977.07,0.1078,0.0,1104204.56,675908.38,915068.69,SAR,2019-06-01,2020-03-05,EMP-000497,2019-05-07,,2019-04-19
BDG-PRJ-2023-00866-01.05-REV3,PRJ-2023-00866,1.05,SUBCONTRACT,REV3,APPROVED,10000.0,11310.8,0.068,0.0,5490.16,3677.93,7632.87,SAR,2019-03-01,2019-08-11,EMP-000672,2019-02-20,,2019-01-10
BDG-PRJ-2020-00996-01.01-REV2,PRJ-2020-00996,1.01,MATERIAL,REV2,ACTIVE,558412.8,557307.83,0.0841,0.0,408483.0,362903.57,194404.26,USD,2023-10-01,2024-02-11,EMP-000267,2023-09-19,,2023-08-31
BDG-PRJ-2022-00691-02.03-REV1,PRJ-2022-00691,2.03,MATERIAL,REV1,ACTIVE,185455.57,173628.62,0.0914,0.0,105463.38,70933.24,102695.38,SAR,2019-05-01,2020-04-04,EMP-000542,2019-04-23,,2019-03-13
BDG-PRJ-2024-00057-01.02-ORIGINAL,PRJ-2024-00057,1.02,MATERIAL,ORIGINAL,SUBMITTED,103931.67,103931.67,0.0756,0.0,51640.88,26020.03,77911.64,SAR,2024-07-01,2024-12-27,EMP-000901,,,2024-05-16
BDG-PRJ-2019-00573-06.01-ORIGINAL,PRJ-2019-00573,6.01,SUBCONTRACT,ORIGINAL,ACTIVE,186771.49,186771.49,0.096,0.0,64756.96,42514.91,144256.58,USD,2022-10-01,2023-07-25,EMP-000700,2022-09-15,,2022-09-01
BDG-PRJ-2022-00990-06.02-REV2,PRJ-2022-00990,6.02,EQUIPMENT,REV2,CLOSED,10000.0,8852.52,0.142,0.0,7141.24,4439.41,4413.11,SAR,2023-07-01,2024-06-23,EMP-000544,2023-06-01,,2023-05-22
BDG-PRJ-2019-00798-03.01-REV1,PRJ-2019-00798,3.01,LABOUR,REV1,ACTIVE,117065.88,115865.97,0.1406,0.0,85326.88,77602.6,38263.37,SAR,2025-03-01,2025-09-27,EMP-000468,2025-02-16,,2025-01-26
BDG-PRJ-2024-00779-02.02-REV3,PRJ-2024-00779,2.02,EQUIPMENT,REV3,ACTIVE,278081.32,300824.82,0.1064,0.0,213188.56,200615.57,100209.25,USD,2024-11-01,2025-07-14,EMP-000548,2024-10-21,,2024-09-17
BDG-PRJ-2020-00453-05.03-REV1,PRJ-2020-00453,5.03,MATERIAL,REV1,SUBMITTED,1493810.91,1292210.52,0.0962,0.0,673555.12,433458.66,858751.86,SAR,2024-02-01,2025-01-15,EMP-000989,,,2023-12-08
BDG-PRJ-2022-00757-01.04-REV3,PRJ-2022-00757,1.04,EQUIPMENT,REV3,APPROVED,74801.61,78582.6,0.1105,0.0,68730.97,49847.93,28734.67,SAR,2025-06-01,2025-10-12,EMP-000309,2025-05-24,,2025-04-18
BDG-PRJ-2020-00450-03.03-ORIGINAL,PRJ-2020-00450,3.03,MATERIAL,ORIGINAL,ACTIVE,48400.22,48400.22,0.0838,0.0,31882.75,28522.74,19877.48,SAR,2024-06-01,2024-10-02,EMP-000946,2024-05-04,,2024-04-24
BDG-PRJ-2019-00742-03.03-ORIGINAL,PRJ-2019-00742,3.03,SUBCONTRACT,ORIGINAL,CLOSED,76677.56,76677.56,0.081,0.0,53186.07,44201.22,32476.34,SAR,2020-10-01,2021-02-11,EMP-000646,2020-09-04,,2020-08-06
BDG-PRJ-2019-00131-02.04-REV1,PRJ-2019-00131,2.04,LABOUR,REV1,APPROVED,642487.84,633938.21,0.1451,0.0,481598.88,287034.19,346904.02,SAR,2020-03-01,2020-07-08,EMP-000179,2020-02-07,,2020-01-05
BDG-PRJ-2022-00757-01.03-REV2,PRJ-2022-00757,1.03,EQUIPMENT,REV2,ACTIVE,266499.24,245802.48,0.0654,0.0,175922.65,142914.33,102888.15,SAR,2020-12-01,2021-10-11,EMP-000636,2020-11-03,,2020-10-18
BDG-PRJ-2022-00626-05.04-ORIGINAL,PRJ-2022-00626,5.04,MATERIAL,ORIGINAL,FROZEN,73523.45,73523.45,0.1284,0.0,61935.02,36975.71,36547.74,SAR,2024-10-01,2025-08-12,EMP-000503,2024-09-12,,2024-08-19
BDG-PRJ-2022-00990-03.02-REV2,PRJ-2022-00990,3.02,LABOUR,REV2,APPROVED,351477.56,421648.92,0.1141,0.0,266787.58,147078.62,274570.3,SAR,2025-09-01,2026-02-01,EMP-000283,2025-08-17,,2025-07-17
BDG-PRJ-2020-00151-07.01-REV3,PRJ-2020-00151,7.01,MATERIAL,REV3,ACTIVE,188266.98,162035.38,0.085,0.0,53788.31,40395.21,121640.17,SAR,2020-07-01,2020-11-09,EMP-000069,2020-06-14,,2020-05-06
BDG-PRJ-2021-00732-06.02-ORIGINAL,PRJ-2021-00732,6.02,MATERIAL,ORIGINAL,CLOSED,695904.34,695904.34,0.1196,0.0,266723.16,227453.0,468451.34,EUR,2022-10-01,2023-01-01,EMP-000041,2022-09-16,,2022-08-28
BDG-PRJ-2024-00562-07.01-REV2,PRJ-2024-00562,7.01,MATERIAL,REV2,SUBMITTED,56778.92,62773.68,0.0738,0.0,42289.77,22472.93,40300.75,SAR,2025-08-01,2026-07-31,EMP-000873,,,2025-06-10
BDG-PRJ-2019-00148-05.04-ORIGINAL,PRJ-2019-00148,5.04,MATERIAL,ORIGINAL,ACTIVE,99559.11,99559.11,0.0687,0.0,69783.86,53157.32,46401.79,SAR,2021-02-01,2022-01-26,EMP-000861,2021-01-08,Player half have decide environment.,2020-12-06
BDG-PRJ-2021-00482-01.04-REV3,PRJ-2021-00482,1.04,MATERIAL,REV3,DRAFT,90385.38,89293.61,0.1289,0.0,66056.25,53778.27,35515.34,SAR,2025-10-01,2026-06-18,EMP-000608,,,2025-08-06
BDG-PRJ-2024-00659-03.04-REV3,PRJ-2024-00659,3.04,MATERIAL,REV3,APPROVED,18119.2,20590.99,0.0635,0.0,17835.16,9247.39,11343.6,USD,2020-01-01,2020-07-11,EMP-000548,2019-12-16,,2019-11-06
BDG-PRJ-2020-00557-08.03-ORIGINAL,PRJ-2020-00557,8.03,EQUIPMENT,ORIGINAL,APPROVED,253769.19,253769.19,0.1362,0.0,83409.47,69051.84,184717.35,SAR,2021-02-01,2021-11-06,EMP-000669,2021-01-02,,2020-12-03
BDG-PRJ-2021-00396-06.02-REV1,PRJ-2021-00396,6.02,MATERIAL,REV1,CLOSED,240766.51,281807.39,0.1019,0.0,207480.35,111928.08,169879.31,SAR,2023-03-01,2023-10-27,EMP-000134,2023-02-12,,2023-01-21
BDG-PRJ-2019-00457-07.02-REV1,PRJ-2019-00457,7.02,MATERIAL,REV1,DRAFT,164007.95,162535.77,0.137,0.0,146101.84,93107.44,69428.33,USD,2025-01-01,2025-05-09,EMP-000677,,,2024-11-07
BDG-PRJ-2022-00768-03.01-ORIGINAL,PRJ-2022-00768,3.01,EQUIPMENT,ORIGINAL,ACTIVE,114475.87,114475.87,0.0535,0.0,38960.72,34646.12,79829.75,EUR,2021-06-01,2022-03-14,EMP-000073,2021-05-06,,2021-04-18
BDG-PRJ-2024-00972-06.03-REV1,PRJ-2024-00972,6.03,LABOUR,REV1,SUBMITTED,19476.11,19003.9,0.0867,0.0,8878.89,8703.62,10300.28,SAR,2019-12-01,2020-06-03,EMP-000658,,,2019-10-29
BDG-PRJ-2022-00269-05.04-ORIGINAL,PRJ-2022-00269,5.04,EQUIPMENT,ORIGINAL,ACTIVE,86598.0,86598.0,0.1499,0.0,36380.43,20659.14,65938.86,USD,2019-08-01,2020-01-26,EMP-000747,2019-07-23,,2019-06-02
BDG-PRJ-2023-00866-06.03-REV2,PRJ-2023-00866,6.03,EQUIPMENT,REV2,APPROVED,97336.39,88868.33,0.08,0.0,64495.15,54827.95,34040.38,SAR,2020-06-01,2021-05-17,EMP-000362,2020-05-21,,2020-04-17
