material_id,material_code,material_name,material_level,parent_material_id,category,sub_category,unit_of_measure,unit_price,currency,lead_time_days,hazardous,requires_inspection,strategic_item,local_content,weight_kg,unspsc_code,min_stock_level,max_stock_level,reorder_point,reorder_quantity,shelf_life_days,manufacturer,brand,country_of_origin,active,created_date
MAT-00000020,EQP-FOR-00020,Forklift - Error 459,PRODUCT,,EQUIPMENT,Forklift,NOS,100186.63,SAR,164,False,True,False,True,118.33,22100034,214,1712,285,356,,"Walls, Duncan and Kennedy",Group Between,South Korea,True,2021-02-17
MAT-00000021,INS-TRA-00021,Transmitters - Reason 360,ASSEMBLY,MAT-00000006,INSTRUMENTS,Transmitters,SET,14449.71,SAR,76,False,True,False,True,,41110050,233,932,331,823,,Davison-Jones,Ltd Ask,China,True,2020-02-18
MAT-00000022,FUE-NAT-00022,Natural Gas - Labore 782,PRODUCT,,FUEL,Natural Gas,BBL,144.17,EUR,6,False,True,False,True,,15100050,349,1396,502,1387,1702.0,Lee PLC,and Sons Ducimus,UAE,True,2021-06-20
MAT-00000023,CON-ADM-00023,Admixtures - Officiis 791,ITEM,MAT-00000020,CONCRETE,Admixtures,CUM,338.52,USD,9,False,False,False,True,3928.8,30110087,345,2760,583,2154,,Ramos PLC,Inc Better,India,True,2022-12-17
MAT-00000024,FUE-GAS-00024,Gasoline - Compare 725,ITEM,MAT-00000006,FUEL,Gasoline,GAL,103.57,EUR,7,True,False,False,True,,15100035,85,255,90,147,3510.0,Jones-Taylor,and Sons A,USA,True,2023-05-01
MAT-00000025,CIV-GEO-00025,Geotextile - Fuga 575,COMPONENT,MAT-00000020,CIVIL,Geotextile,MT,52.58,EUR,10,False,False,False,False,,30100064,122,610,224,478,,Davison-Andrews,and Sons Fine,China,True,2023-10-23
MAT-00000026,CON-PRE-00026,Precast - Article 560,COMPONENT,MAT-00000020,CONCRETE,Precast,BAG,479.02,GBP,9,False,False,False,False,4534.27,30110067,469,2345,849,2233,,"Edwards, Williams and Woods",Inc Today,Japan,True,2023-04-29
MAT-00000027,PIP-COP-00027,Copper - Authority 524,COMPONENT,MAT-00000020,PIPES,Copper,RM,563.7,USD,58,False,True,False,False,402.9,40140029,128,1152,167,566,,"Hensley, Powell and David",PLC President,UK,True,2018-09-21
MAT-00000028,STL-CHA-00028,Channels - Kind 546,ITEM,MAT-00000020,STRUCTURAL_STEEL,Channels,KG,2641.83,EUR,84,False,False,False,True,1949.94,30100063,285,1710,534,734,,Martin-Edwards,LLC Delectus,Italy,True,2021-01-22
MAT-00000029,MEC-TAN-00029,Tanks - Officia 151,ITEM,MAT-00000012,MECHANICAL,Tanks,SET,459851.27,SAR,148,False,True,False,False,135.52,40170092,229,1145,450,701,,Bailey PLC,Inc Move,Japan,True,2020-01-15
MAT-00000030,VLV-BUT-00030,Butterfly - Delectus 353,ITEM,MAT-00000017,VALVES,Butterfly,SET,12688.35,USD,82,False,False,True,False,,40140138,342,1368,675,424,,Shaw LLC,and Sons Quisquam,India,True,2018-05-08
MAT-00000031,PIP-HDP-00031,HDPE - Similique 689,ITEM,MAT-00000006,PIPES,HDPE,RM,940.77,USD,63,False,True,False,False,572.67,40140030,169,676,317,182,,"Montoya, Evans and Alvarado",LLC Voice,UK,True,2021-07-01
MAT-00000032,STL-PLA-00032,Plates - Situation 969,ITEM,MAT-00000006,STRUCTURAL_STEEL,Plates,MT,2625.73,EUR,67,False,False,False,True,2663.73,30100094,199,796,328,548,,Campbell-Clark,and Sons Quae,UK,True,2018-02-21
MAT-00000033,CSM-BOL-00033,Bolt - Explicabo 385,PRODUCT,,CONSUMABLES,Bolt,KG,218.31,EUR,14,False,False,False,False,,31160069,233,1631,315,735,3641.0,Walters LLC,Inc Delectus,Italy,True,2018-12-21
MAT-00000034,CIV-GEO-00034,Geotextile - Dolorem 295,ITEM,MAT-00000017,CIVIL,Geotextile,CUM,101.39,USD,17,False,True,False,True,,30100086,369,2583,653,410,,"Cole, Moore and Clark",PLC They,USA,True,2023-10-18
MAT-00000035,CIV-GRA-00035,Gravel - Reprehenderit 452,ITEM,MAT-00000033,CIVIL,Gravel,MT,130.95,USD,10,False,True,False,False,,30100049,349,2792,591,2616,,Anderson-Parker,LLC Rest,UK,False,2023-12-15
MAT-00000036,VLV-BUT-00036,Butterfly - Reflect 841,ITEM,MAT-00000017,VALVES,Butterfly,SET,12645.04,USD,104,False,True,False,False,,40140198,104,624,131,599,,Deleon-Henson,PLC Wish,France,False,2021-02-06
MAT-00000037,PIP-CAR-00037,Carbon Steel - Treatment 993,ITEM,MAT-00000012,PIPES,Carbon Steel,JOINT,470.42,USD,40,False,False,True,True,272.64,40140047,367,1835,693,1372,,Keith Inc,Ltd Neque,China,True,2019-02-25
MAT-00000038,ELE-SWI-00038,Switchgear - Example 187,ITEM,MAT-00000006,ELECTRICAL,Switchgear,NOS,94106.95,USD,56,False,True,False,False,,26100097,37,185,46,181,,"Rodriguez, Brennan and Garrison",and Sons Laudantium,India,True,2021-05-29
MAT-00000039,CIV-ASP-00039,Asphalt - Eum 370,ITEM,MAT-00000012,CIVIL,Asphalt,SQM,79.17,SAR,14,False,False,False,True,,30100089,40,160,53,120,,Keller Group,LLC Spring,USA,True,2020-05-14
MAT-00000040,STL-BEA-00040,Beams - Laudantium 535,PRODUCT,,STRUCTURAL_STEEL,Beams,MT,1626.26,USD,78,False,True,False,True,4298.04,30100019,361,2166,496,1974,,"Robinson, Wilkinson and Singh",LLC Partner,USA,True,2020-03-21
MAT-00000041,EQP-EXC-00041,Excavator - Amet 548,ITEM,MAT-00000006,EQUIPMENT,Excavator,NOS,83378.43,USD,215,False,False,False,False,2343.5,22100048,368,3312,507,2417,,"Hamilton, Chandler and Edwards",Group Environmental,USA,True,2023-07-16
MAT-00000042,CHM-CAT-00042,Catalyst - Section 384,COMPONENT,MAT-00000017,CHEMICALS,Catalyst,LTR,502.07,SAR,38,False,True,False,False,,12140083,30,150,45,96,773.0,Reynolds PLC,LLC Atque,France,True,2022-12-17
MAT-00000043,CSM-BOL-00043,Bolt - Soluta 358,COMPONENT,MAT-00000017,CONSUMABLES,Bolt,PKT,167.32,EUR,12,False,True,False,True,,31160061,426,1278,658,516,1354.0,"Baker, Peters and Hodgson",Ltd Itaque,USA,False,2021-07-12
MAT-00000044,INS-TRA-00044,Transmitters - Voluptatem 548,ITEM,MAT-00000033,INSTRUMENTS,Transmitters,SET,33177.16,USD,83,False,False,False,False,,41110016,114,798,184,248,,"Clarke, Burton and Singh",PLC Necessitatibus,Italy,True,2021-03-25
MAT-00000045,CIV-GRA-00045,Gravel - Fly 833,ASSEMBLY,MAT-00000033,CIVIL,Gravel,CUM,65.6,USD,16,False,True,False,False,,30100069,494,1976,825,809,,Sykes PLC,Group Numquam,Japan,True,2023-08-04
MAT-00000046,SVC-SCA-00046,Scaffolding - Much 373,ITEM,MAT-00000012,SERVICES,Scaffolding,DAY,2778.76,USD,9,False,False,False,False,,72100045,405,3645,579,3631,,"Thompson, Cunningham and Lewis",Inc Remember,China,True,2023-09-11
MAT-00000047,CIV-GEO-00047,Geotextile - Et 339,ITEM,MAT-00000040,CIVIL,Geotextile,CUM,92.08,USD,15,False,False,False,False,,30100051,455,2730,812,1433,,Johnson and Sons,PLC Lose,UK,True,2022-04-18
MAT-00000048,CHM-SOL-00048,Solvent - Suscipit 839,ITEM,MAT-00000020,CHEMICALS,Solvent,DRUM,3972.35,EUR,24,False,True,False,False,,12140022,457,4570,508,4200,620.0,"Horton, Snyder and Sanchez",Inc Est,UK,True,2018-03-04
MAT-00000049,STL-ANG-00049,Angles - Summer 746,ASSEMBLY,MAT-00000017,STRUCTURAL_STEEL,Angles,MT,2124.59,GBP,114,False,False,False,False,3134.0,30100072,456,1368,772,526,,Bevan Inc,and Sons Vel,Japan,False,2020-08-19
MAT-00000050,ELE-CAB-00050,Cables - Numquam 350,ITEM,MAT-00000040,ELECTRICAL,Cables,SET,70392.04,USD,35,False,False,False,True,,26100017,160,1280,255,1042,,"Williams, Walsh and Taylor",LLC Though,South Korea,True,2019-08-20
MAT-00000051,CON-PRE-00051,Precast - Quasi 175,ITEM,MAT-00000006,CONCRETE,Precast,BAG,340.28,USD,9,False,True,False,True,1276.64,30110011,470,4700,931,2826,,"Smith, Williams and Edwards",LLC Ipsum,Italy,True,2019-10-10
MAT-00000052,PIP-HDP-00052,HDPE - Certainly 108,ASSEMBLY,MAT-00000033,PIPES,HDPE,JOINT,924.53,USD,64,False,False,True,True,1794.8,40140047,368,2576,379,1989,,Reyes and Sons,Inc Nemo,France,True,2021-01-29
MAT-00000053,CSM-GAS-00053,Gasket - Quis 907,ITEM,MAT-00000033,CONSUMABLES,Gasket,PKT,416.59,SAR,13,False,False,False,False,,31160089,138,690,162,178,1835.0,Farmer-Lee,PLC Tough,China,True,2021-06-19
MAT-00000054,STL-ANG-00054,Angles - Perferendis 579,ITEM,MAT-00000017,STRUCTURAL_STEEL,Angles,MT,939.1,USD,94,False,False,False,False,1362.64,30100031,141,1410,216,834,,Evans-Price,PLC Method,USA,True,2019-04-17
MAT-00000055,SVC-SCA-00055,Scaffolding - Explain 582,ASSEMBLY,MAT-00000040,SERVICES,Scaffolding,MONTH,1860.59,EUR,5,False,True,True,True,,72100096,144,1296,239,365,,Day-Holt,Ltd Though,China,True,2020-08-15
MAT-00000056,VLV-REL-00056,Relief - Debitis 650,COMPONENT,MAT-00000012,VALVES,Relief,NOS,31806.66,USD,118,False,False,True,True,,40140114,165,1650,194,364,,Vargas-Alvarado,Ltd Deleniti,Germany,True,2020-08-19
MAT-00000057,FUE-NAT-00057,Natural Gas - Ducimus 341,ITEM,MAT-00000020,FUEL,Natural Gas,BBL,148.71,USD,8,False,False,False,False,,15100045,26,208,32,139,3533.0,Gray-Lewis,LLC Hic,UAE,True,2022-12-27
MAT-00000058,INS-LEV-00058,Level Gauges - Explicabo 228,ITEM,MAT-00000006,INSTRUMENTS,Level Gauges,SET,22215.34,SAR,120,False,False,False,False,,41110092,337,1011,362,678,,Smith-Ryan,and Sons Statement,France,True,2020-09-24
MAT-00000059,CIV-ASP-00059,Asphalt - Somebody 115,COMPONENT,MAT-00000012,CIVIL,Asphalt,CUM,69.07,USD,10,False,True,False,False,,30100079,138,690,166,164,,Gonzalez Inc,and Sons Material,UAE,True,2019-06-24
MAT-00000060,VLV-BAL-00060,Ball - Organization 729,ITEM,MAT-00000017,VALVES,Ball,NOS,6425.25,USD,94,False,False,False,False,,40140175,313,1252,544,828,,Lyons-Wang,PLC Star,China,True,2020-06-26
MAT-00000061,MEC-HEA-00061,Heat Exchangers - Foreign 739,COMPONENT,MAT-00000020,MECHANICAL,Heat Exchangers,NOS,31351.88,USD,131,False,False,True,False,2217.82,40170020,174,870,190,303,,"Johnson, Collins and Byrd",Group Bag,France,True,2021-01-31
MAT-00000062,CSM-GAS-00062,Gasket - Blue 447,ITEM,MAT-00000017,CONSUMABLES,Gasket,PKT,253.27,USD,11,False,False,False,False,,31160037,230,2300,457,1165,3419.0,"Foster, O'Neill and Robinson",LLC Ut,Italy,True,2022-08-22
MAT-00000063,PIP-GRP-00063,GRP - Atque 786,ITEM,MAT-00000033,PIPES,GRP,JOINT,761.12,USD,70,False,True,False,True,482.83,40140057,425,2125,709,547,,Baker Group,Group Tempora,USA,True,2021-09-12
MAT-00000064,FUE-AVI-00064,Aviation Fuel - Voluptatum 217,COMPONENT,MAT-00000040,FUEL,Aviation Fuel,BBL,11.24,USD,7,False,False,False,False,,15100038,443,1772,622,1582,3153.0,Thompson-Boyd,PLC Omnis,Japan,True,2022-02-14
MAT-00000065,SVC-INS-00065,Inspection - Rerum 171,COMPONENT,MAT-00000022,SERVICES,Inspection,MONTH,3231.36,USD,7,False,True,False,False,,72100053,189,567,235,262,,Barton-Holden,LLC Exercitationem,Germany,True,2022-06-30
MAT-00000066,STL-REB-00066,Rebar - Reiciendis 378,ASSEMBLY,MAT-00000012,STRUCTURAL_STEEL,Rebar,MT,1549.58,USD,83,False,True,False,False,2981.12,30100016,89,445,168,114,,Day-Barton,Group Hear,Italy,True,2018-12-01
MAT-00000067,ELE-TRA-00067,Transformers - Laboriosam 107,ITEM,MAT-00000012,ELECTRICAL,Transformers,SET,11390.61,USD,39,False,False,False,False,,26100049,33,198,58,186,,"Harrison, White and Boyle",Inc Service,India,True,2018-08-13
MAT-00000068,CON-GRO-00068,Grout - Porro 546,ITEM,MAT-00000017,CONCRETE,Grout,BAG,130.39,USD,8,False,True,False,False,2501.32,30110095,422,3376,458,2048,,"Alvarez, Joseph and West",Inc Est,China,True,2018-06-23
MAT-00000069,PIP-HDP-00069,HDPE - Voluptate 349,PRODUCT,,PIPES,HDPE,JOINT,1424.81,USD,47,False,False,False,True,4738.07,40140068,435,3480,480,2223,,Beck-Wood,Group Libero,UK,True,2019-03-10
MAT-00000070,VLV-CHE-00070,Check - Fugit 362,ITEM,MAT-00000033,VALVES,Check,NOS,16720.12,USD,145,False,False,False,True,,40140154,189,945,249,294,,Wilson-Atkinson,Inc Dark,India,True,2019-08-23
MAT-00000071,SAF-PPE-00071,PPE - Single 550,PRODUCT,,SAFETY,PPE,NOS,1902.83,EUR,17,False,False,False,False,,46180082,339,2712,660,1633,,Wood-Stewart,Inc Fine,USA,True,2019-09-11
MAT-00000072,ITQ-UPS-00072,UPS - Herself 493,ITEM,MAT-00000006,IT,UPS,SET,2585.95,USD,21,False,True,False,True,,43210092,452,1808,766,1668,,Smith-Ferguson,Inc On,Italy,True,2023-09-08
MAT-00000073,CHM-COR-00073,Corrosion Inhibitor - Voluptatem 353,ASSEMBLY,MAT-00000069,CHEMICALS,Corrosion Inhibitor,DRUM,3276.6,USD,35,False,False,False,False,,12140053,375,1500,633,728,2928.0,"Oneill, Henry and Salas",Group Nulla,Italy,False,2018-06-10
MAT-00000074,CIV-FIL-00074,Fill Material - Ea 441,ITEM,MAT-00000033,CIVIL,Fill Material,MT,80.55,EUR,10,False,False,False,True,,30100022,295,2655,440,1327,,Everett-Woods,Group Aut,USA,True,2019-09-08
MAT-00000075,VLV-GLO-00075,Globe - Civil 470,PRODUCT,,VALVES,Globe,SET,6534.69,EUR,90,False,True,False,False,,40140126,353,1412,683,1220,,"Avery, Miller and Wright",PLC Stand,China,True,2023-09-14
MAT-00000076,CON-ADM-00076,Admixtures - Odio 711,PRODUCT,,CONCRETE,Admixtures,CUM,175.15,USD,5,False,True,False,False,2698.86,30110077,29,232,57,225,,Taylor-Scott,PLC Poor,UK,True,2019-06-21
MAT-00000077,CHM-CAT-00077,Catalyst - Yourself 476,PRODUCT,,CHEMICALS,Catalyst,LTR,3619.86,USD,31,False,True,False,True,,12140067,129,774,208,609,2808.0,"Clark, Guerrero and Moore",PLC Close,France,False,2020-03-05
MAT-00000078,PIP-HDP-00078,HDPE - Issue 391,ITEM,MAT-00000071,PIPES,HDPE,JOINT,1933.21,GBP,78,False,True,False,False,4370.59,40140080,488,1952,852,1544,,"Wright, Harris and Barnes",Ltd Aut,USA,True,2019-05-26
MAT-00000079,EQP-EXC-00079,Excavator - Window 128,ITEM,MAT-00000040,EQUIPMENT,Excavator,NOS,473233.42,USD,177,False,False,False,False,1982.28,22100057,130,1170,150,897,,"Wright, Roberts and Chapman",PLC Raise,UAE,True,2020-07-08
MAT-00000080,MEC-COM-00080,Compressors - When 533,COMPONENT,MAT-00000017,MECHANICAL,Compressors,NOS,144152.82,GBP,97,False,False,False,False,4529.29,40170012,141,846,179,702,,Hammond and Sons,PLC Nulla,USA,True,2023-12-02
MAT-00000081,CON-PRE-00081,Precast - Management 346,ITEM,MAT-00000040,CONCRETE,Precast,BAG,106.38,GBP,8,False,False,True,False,1209.7,30110028,159,1431,159,1418,,"Ahmed, Dixon and Powell",Inc Visit,France,True,2021-12-16
MAT-00000082,STL-ANG-00082,Angles - Iste 890,ITEM,MAT-00000012,STRUCTURAL_STEEL,Angles,KG,1476.13,USD,100,False,True,False,False,1785.48,30100018,186,1116,354,829,,Green Ltd,Ltd Repellat,France,True,2019-03-01
MAT-00000083,STL-REB-00083,Rebar - Source 142,ITEM,MAT-00000033,STRUCTURAL_STEEL,Rebar,KG,2575.96,EUR,104,False,False,False,True,3580.23,30100068,28,196,34,39,,Stone-Ramos,and Sons Tempora,UAE,True,2020-03-28
MAT-00000084,CSM-GAS-00084,Gasket - Consectetur 861,ITEM,MAT-00000069,CONSUMABLES,Gasket,BOX,19.27,EUR,14,False,True,False,False,,31160052,149,596,243,372,1831.0,Miles-Potter,and Sons Neque,UK,True,2022-06-27
MAT-00000085,CHM-BIO-00085,Biocide - Illo 413,PRODUCT,,CHEMICALS,Biocide,DRUM,1370.27,USD,33,True,False,False,False,,12140051,62,248,82,231,1856.0,"Sims, Nicholson and Smith",Group Really,France,True,2021-04-25
MAT-00000086,ELE-PAN-00086,Panels - Neque 131,PRODUCT,,ELECTRICAL,Panels,RM,72684.17,SAR,49,False,False,False,False,,26100017,48,432,71,310,,Stone PLC,Ltd Asperiores,Germany,True,2019-10-18
MAT-00000087,ELE-SWI-00087,Switchgear - Example 687,ITEM,MAT-00000012,ELECTRICAL,Switchgear,RM,77853.75,USD,42,False,False,True,True,,26100067,495,3960,685,2313,,Kim-Wolfe,Inc Security,Germany,True,2018-11-11
MAT-00000088,MEC-COM-00088,Compressors - Foreign 238,ITEM,MAT-00000012,MECHANICAL,Compressors,NOS,368101.75,USD,129,False,False,True,False,3520.19,40170037,323,2261,574,732,,"Russell, Walker and Skinner",Group Raise,USA,True,2019-05-18
MAT-00000089,ELE-CAB-00089,Cables - Moment 912,COMPONENT,MAT-00000085,ELECTRICAL,Cables,SET,96756.45,SAR,51,False,True,True,False,,26100048,445,2225,809,1898,,"Cole, Allan and Jones",and Sons Quod,UAE,True,2019-12-15
MAT-00000090,CON-PRE-00090,Precast - Identify 520,PRODUCT,,CONCRETE,Precast,CUM,411.96,USD,9,False,False,False,False,648.86,30110021,43,301,68,288,,"Romero, Suarez and Shields",Group Quae,UK,True,2023-11-24
MAT-00000091,CSM-WEL-00091,Welding Rod - A 951,PRODUCT,,CONSUMABLES,Welding Rod,PKT,233.45,USD,12,False,False,False,False,,31160033,403,2015,624,1432,538.0,"Burns, Fox and Watkins",and Sons Quidem,South Korea,True,2018-08-15
MAT-00000092,VLV-GLO-00092,Globe - Laborum 614,PRODUCT,,VALVES,Globe,NOS,17366.55,SAR,116,False,False,False,False,,40140180,150,750,227,696,,"Miller, Patel and Begum",Ltd Owner,Germany,True,2019-01-18
MAT-00000093,CON-CEM-00093,Cement - Eveniet 757,ITEM,MAT-00000076,CONCRETE,Cement,CUM,426.6,USD,5,False,False,False,True,1054.05,30110083,223,669,350,544,,Stephens Group,Group Mission,Japan,True,2021-04-01
MAT-00000094,MEC-HEA-00094,Heat Exchangers - Card 627,COMPONENT,MAT-00000090,MECHANICAL,Heat Exchangers,NOS,344618.17,USD,133,False,False,False,False,1562.92,40170050,385,3080,589,920,,Cameron Group,PLC Accusantium,South Korea,True,2022-02-26
MAT-00000095,CON-ADM-00095,Admixtures - It 610,ITEM,MAT-00000069,CONCRETE,Admixtures,CUM,120.66,USD,8,False,False,False,False,4511.56,30110051,488,3904,585,3613,,Harrison LLC,PLC Totam,South Korea,True,2019-10-15
MAT-00000096,INS-TRA-00096,Transmitters - Together 967,COMPONENT,MAT-00000085,INSTRUMENTS,Transmitters,SET,77341.59,USD,82,False,True,False,False,,41110093,354,3540,500,2552,,"Taylor, Palmer and Saunders",PLC Prepare,USA,True,2018-02-03
MAT-00000097,CHM-SOL-00097,Solvent - Easy 482,COMPONENT,MAT-00000077,CHEMICALS,Solvent,LTR,2032.88,USD,26,False,True,False,False,,12140080,153,612,185,202,3285.0,Morris Group,Ltd Life,UAE,True,2022-06-02
MAT-00000098,CON-CEM-00098,Cement - Rule 502,ITEM,MAT-00000092,CONCRETE,Cement,BAG,290.03,USD,6,False,False,False,False,744.71,30110075,81,648,159,407,,Thomas Inc,LLC Non,France,True,2019-10-28
MAT-00000099,VLV-REL-00099,Relief - Election 771,ITEM,MAT-00000091,VALVES,Relief,SET,23797.14,USD,122,False,False,False,False,,40140198,332,996,637,817,,"Richardson, Gardner and Jarvis",PLC Modern,France,True,2020-12-23
MAT-00000100,CIV-GRA-00100,Gravel - Each 528,ITEM,MAT-00000092,CIVIL,Gravel,SQM,145.63,EUR,16,False,True,False,True,,30100099,66,396,68,291,,"Smith, Smith and Potts",LLC Back,Germany,True,2021-07-08
MAT-00000101,INS-ANA-00101,Analyzers - Laborum 450,ITEM,MAT-00000091,INSTRUMENTS,Analyzers,NOS,56520.86,USD,95,False,True,False,False,,41110050,499,2495,734,2367,,"Hunt, Marshall and Murphy",and Sons Perspiciatis,South Korea,True,2023-12-24
MAT-00000102,CHM-BIO-00102,Biocide - Economic 673,ITEM,MAT-00000091,CHEMICALS,Biocide,LTR,4788.82,USD,29,True,False,False,True,,12140036,363,3630,525,2328,3287.0,"Evans, Doyle and Harrison",Ltd Harum,Japan,True,2021-11-29
MAT-00000103,INS-THE-00103,Thermocouples - Others 675,ITEM,MAT-00000077,INSTRUMENTS,Thermocouples,NOS,23378.12,USD,105,False,True,False,False,,41110071,119,714,224,670,,"Mcgee, Wall and Leach",PLC Est,Japan,True,2021-01-15
MAT-00000104,CIV-GRA-00104,Gravel - Pressure 516,ITEM,MAT-00000012,CIVIL,Gravel,SQM,181.51,USD,13,False,True,False,False,,30100022,358,1790,360,1485,,"Davey, Read and Davies",Ltd Well,Italy,True,2019-10-09
MAT-00000105,CSM-SEA-00105,Sealant - For 137,PRODUCT,,CONSUMABLES,Sealant,BOX,323.3,SAR,11,False,False,False,False,,31160014,477,2385,690,2283,3455.0,Jackson Ltd,Inc Itaque,UK,True,2019-12-22
MAT-00000106,SAF-SAF-00106,Safety Signage - Doloribus 379,PRODUCT,,SAFETY,Safety Signage,NOS,23.49,USD,11,False,False,False,False,,46180092,288,2880,356,2353,,Buchanan LLC,and Sons Perspiciatis,India,True,2023-04-02
MAT-00000107,CHM-BIO-00107,Biocide - Labore 510,ITEM,MAT-00000033,CHEMICALS,Biocide,LTR,3696.26,EUR,38,False,True,False,False,,12140061,433,3897,696,1776,2771.0,Mccarty-Taylor,Ltd Quos,USA,True,2018-12-22
MAT-00000108,VLV-BAL-00108,Ball - Consectetur 576,PRODUCT,,VALVES,Ball,NOS,13113.19,USD,114,False,False,False,False,,40140111,143,1144,203,206,,Pritchard Inc,LLC Reprehenderit,Japan,True,2019-04-30
MAT-00000109,FUE-LPG-00109,LPG - Tempore 875,ITEM,MAT-00000020,FUEL,LPG,BBL,183.31,USD,9,True,False,False,False,,15100087,201,1809,380,1325,2231.0,Davies Group,PLC Similique,India,True,2023-04-13
