movement_id,material_id,project_id,grn_id,movement_type,quantity,unit_of_measure,unit_cost,total_value,from_location,to_location,batch_number,reason_code,movement_date,posted_by,approved_by,remarks,created_date
INV-MOV-00000084,MAT-00000845,PRJ-2022-00583,,ADJUSTMENT,225,KG,2791.21,628022.25,SITE-C-WAREHOUSE-SEC-06,,,SYSTEM_CORRECTION,2022-05-20,Ruben Ruiz,Amy Crane,,2022-05-20
INV-MOV-00000085,MAT-00000613,PRJ-2022-00041,,ADJUSTMENT,377,NOS,34171.02,12882474.54,SITE-C-WAREHOUSE-SEC-01,,,QUALITY_HOLD,2019-04-28,Barry Bernard,Andre Wright,,2019-04-28
INV-MOV-00000086,MAT-00000022,PRJ-2024-00784,,RETURN,138,BBL,144.17,19895.46,SITE-E-WAREHOUSE-SEC-01,,,WRONG_DELIVERY,2025-03-31,Lisa Allen,,,2025-03-31
INV-MOV-00000087,MAT-00000285,PRJ-2022-00186,,WRITEOFF,-224,NOS,1162.68,-260440.32,SITE-D-WAREHOUSE-SEC-01,,,OBSOLETE,2022-06-28,Brian Gould,David Wood,,2022-06-28
INV-MOV-00000088,MAT-00000879,PRJ-2024-00165,,ISSUE,-356,NOS,3206.35,-1141460.6,SITE-D-WAREHOUSE-SEC-03,,,PRODUCTION,2024-07-24,Tracey Higgins,,Who blue agent.,2024-07-24
INV-MOV-00000089,MAT-00000091,PRJ-2021-00323,GRN-2021-0000994,RECEIPT,60,PKT,233.45,14007.0,SITE-D-WAREHOUSE-SEC-05,,,TRANSFER_IN,2025-01-01,Michael Rubio,,,2025-01-01
INV-MOV-00000090,MAT-00000056,PRJ-2022-00193,,ISSUE,-319,NOS,31806.66,-10146324.54,SITE-D-WAREHOUSE-SEC-06,,BATCH-63GS193,PRODUCTION,2022-01-27,Sarah Burke,,,2022-01-27
INV-MOV-00000091,MAT-00000295,PRJ-2020-00449,,ADJUSTMENT,249,NOS,1157.23,288150.27,SITE-E-WAREHOUSE-SEC-02,,BATCH-19BQ058,STOCK_COUNT,2024-03-22,Jonathan Peterson,Samantha Garcia,,2024-03-22
INV-MOV-00000092,MAT-00000096,PRJ-2023-00231,,WRITEOFF,-468,SET,77341.59,-36195864.12,SITE-A-WAREHOUSE-SEC-04,,,THEFT,2019-11-28,Madison Poole,Jessica Gross,,2019-11-28
INV-MOV-00000093,MAT-00000299,PRJ-2024-00522,,RETURN,213,NOS,11297.58,2406384.54,SITE-D-WAREHOUSE-SEC-04,,,DEFECTIVE,2020-08-21,Debra Morton,,,2020-08-21
INV-MOV-00000094,MAT-00000614,PRJ-2024-00521,,TRANSFER,-70,SET,32072.57,-2245079.9,SITE-C-WAREHOUSE-SEC-04,SITE-D-WAREHOUSE-SEC-05,BATCH-87RU769,WAREHOUSE_REORG,2021-01-02,Sandra Miller,,,2021-01-02
INV-MOV-00000095,MAT-00000594,PRJ-2019-00676,,ISSUE,-77,RM,83387.52,-6420839.04,SITE-D-WAREHOUSE-SEC-05,,BATCH-73QY799,PRODUCTION,2022-06-26,Johnny Nguyen,,,2022-06-26
INV-MOV-00000096,MAT-00000956,PRJ-2021-00330,,ADJUSTMENT,358,KG,470.43,168413.94,SITE-D-WAREHOUSE-SEC-02,,BATCH-73RM545,QUALITY_HOLD,2025-07-30,Desiree Smith,Angela Cortez,,2025-07-30
INV-MOV-00000097,MAT-00000936,PRJ-2021-00831,,ISSUE,-340,JOINT,1215.23,-413178.2,SITE-B-WAREHOUSE-SEC-04,,,PRODUCTION,2019-03-06,Peter Vaughn DDS,,,2019-03-06
INV-MOV-00000098,MAT-00000103,PRJ-2020-00896,,TRANSFER,-52,NOS,23378.12,-1215662.24,SITE-D-WAREHOUSE-SEC-01,SITE-B-WAREHOUSE-SEC-04,,SITE_TRANSFER,2025-12-02,Ricky Davis II,,,2025-12-02
INV-MOV-00000099,MAT-00000993,PRJ-2019-00272,,ISSUE,-355,RM,173.55,-61610.25,SITE-D-WAREHOUSE-SEC-06,,,PRODUCTION,2019-06-18,Elizabeth Perkins,,,2019-06-18
INV-MOV-00000100,MAT-00000325,PRJ-2020-00642,,RETURN,389,RM,1245.46,484483.94,SITE-D-WAREHOUSE-SEC-05,,BATCH-78VJ856,WRONG_DELIVERY,2019-11-13,Michael Nelson,,,2019-11-13
INV-MOV-00000101,MAT-00000295,PRJ-2023-00233,,TRANSFER,-223,NOS,1157.23,-258062.29,SITE-A-WAREHOUSE-SEC-04,SITE-C-WAREHOUSE-SEC-06,BATCH-43HV135,SITE_TRANSFER,2021-01-15,Pamela Lopez,,,2021-01-15
INV-MOV-00000102,MAT-00000384,PRJ-2024-00442,GRN-2025-0000422,RECEIPT,272,SET,3361.05,914205.6,SITE-E-WAREHOUSE-SEC-06,,BATCH-37MS498,PO_DELIVERY,2025-04-03,Dr. Elizabeth Ward,,,2025-04-03
INV-MOV-00000103,MAT-00000392,PRJ-2023-00635,,RETURN,255,RM,28808.2,7346091.0,SITE-E-WAREHOUSE-SEC-02,,,DEFECTIVE,2020-08-24,Michael Martinez,,,2020-08-24
INV-MOV-00000104,MAT-00000010,PRJ-2024-00921,,TRANSFER,462,CUM,18.84,8704.08,SITE-E-WAREHOUSE-SEC-02,SITE-A-WAREHOUSE-SEC-04,BATCH-00OW842,WAREHOUSE_REORG,2021-10-28,Shane Andrews MD,,,2021-10-28
INV-MOV-00000105,MAT-00000468,PRJ-2023-00866,,ISSUE,-197,MT,2885.17,-568378.49,SITE-D-WAREHOUSE-SEC-01,,,PRODUCTION,2020-07-14,Cody Williams,,,2020-07-14
INV-MOV-00000106,MAT-00000717,PRJ-2021-00303,GRN-2019-0000675,RECEIPT,425,RM,874.84,371807.0,SITE-D-WAREHOUSE-SEC-03,,,TRANSFER_IN,2019-10-17,Karen Short,,,2019-10-17
INV-MOV-00000107,MAT-00000933,PRJ-2019-00621,,TRANSFER,-427,SET,24326.86,-10387569.22,SITE-C-WAREHOUSE-SEC-02,SITE-D-WAREHOUSE-SEC-02,,BUFFER_STOCK,2024-04-07,Benjamin Soto,,,2024-04-07
INV-MOV-00000108,MAT-00000786,PRJ-2019-00676,,RETURN,71,MT,788.84,56007.64,SITE-A-WAREHOUSE-SEC-06,,BATCH-02FP294,DEFECTIVE,2024-01-21,Phillip Obrien,,Difficult mission late kind team.,2024-01-21
INV-MOV-00000109,MAT-00000374,PRJ-2022-00750,GRN-2020-0000303,RECEIPT,466,CUM,245.27,114295.82,SITE-C-WAREHOUSE-SEC-06,,BATCH-64NV990,TRANSFER_IN,2022-03-31,Phillip Garrett,,,2022-03-31
INV-MOV-00000110,MAT-00000375,PRJ-2022-00544,,ISSUE,-140,MT,38.17,-5343.8,SITE-B-WAREHOUSE-SEC-03,,,MAINTENANCE,2025-09-04,Brad Allen,,,2025-09-04
INV-MOV-00000111,MAT-00000347,PRJ-2019-00824,GRN-2025-0000078,RECEIPT,494,SET,21033.75,10390672.5,SITE-B-WAREHOUSE-SEC-02,,,RETURN_FROM_SITE,2025-12-13,Brooke Ortiz,,,2025-12-13
INV-MOV-00000112,MAT-00000824,PRJ-2020-00571,,ISSUE,-405,BBL,154.17,-62438.85,SITE-D-WAREHOUSE-SEC-01,,BATCH-97ST403,MAINTENANCE,2021-10-02,Scott Jones,,,2021-10-02
