item_id,contract_id,boq_reference,boq_section,line_number,material_id,description,unit_of_measure,quantity,unit_rate,amount,qty_executed,executed_pct,milestone_flag,milestone_description,item_status,variation_ref,retention_applicable,notes,created_date
CTR-2023-000894-BOQ-0020,CTR-2023-000894,4.7.5,Instrumentation,5,MAT-00000063,Draw protect Democrat car very number line.,JOINT,746,839.96,626610.16,111,14.9,False,,ACTIVE,,True,,2021-10-20
CTR-2023-000894-BOQ-0021,CTR-2023-000894,4.2.6,Instrumentation,6,MAT-00000896,Space couple best issue interest level rock.,CUM,454,143.02,64931.08,438,96.5,False,,ACTIVE,,False,,2021-08-26
CTR-2023-000894-BOQ-0022,CTR-2023-000894,4.7.7,Instrumentation,7,MAT-00000171,Art rock song body.,NOS,498,200.84,100018.32,442,88.8,False,,ACTIVE,,False,,2024-02-07
CTR-2023-000894-BOQ-0023,CTR-2023-000894,4.7.8,Instrumentation,8,MAT-00000293,Couple large instead everything economic.,SET,714,44583.82,31832847.48,569,79.7,False,,ACTIVE,,True,Kitchen technology nearly anything.,2019-09-07
CTR-2023-000894-BOQ-0024,CTR-2023-000894,4.6.9,Instrumentation,9,MAT-00000766,Structure why unit support coach magazine degree.,NOS,59,24438.65,1441880.35,30,50.8,False,,DELETED,,False,Total clearly able hospital unit size.,2021-01-31
CTR-2023-000894-BOQ-0025,CTR-2023-000894,4.10.10,Instrumentation,10,MAT-00000071,Institution whatever yet new responsibility.,NOS,70,2483.44,173840.8,30,42.9,False,,ON_HOLD,,True,Couple design around save.,2019-12-02
CTR-2022-000430-BOQ-0026,CTR-2022-000430,10.6.1,Insulation,1,MAT-00000536,Security arm once me.,NOS,958,33157.89,31765258.62,685,71.5,False,,ACTIVE,,True,,2022-07-19
CTR-2022-000430-BOQ-0027,CTR-2022-000430,10.2.2,Insulation,2,MAT-00000952,Church whether bag control organization push dog.,NOS,10,44459.8,444598.0,9,90.0,False,,ACTIVE,,True,,2019-10-09
CTR-2022-000430-BOQ-0028,CTR-2022-000430,10.4.3,Insulation,3,MAT-00000901,Walk now often always.,CUM,379,178.9,67803.1,224,59.1,False,,ACTIVE,,False,,2019-02-02
CTR-2022-000430-BOQ-0029,CTR-2022-000430,10.9.4,Insulation,4,MAT-00000684,Information on mission various.,RM,307,833.51,255887.57,53,17.3,False,,ACTIVE,,True,,2022-01-20
CTR-2022-000430-BOQ-0030,CTR-2022-000430,10.10.5,Insulation,5,MAT-00000289,Prove fire enter capital population.,SET,216,2832.51,611822.16,52,24.1,False,,DELETED,,True,,2019-07-28
CTR-2022-000430-BOQ-0031,CTR-2022-000430,10.7.6,Insulation,6,MAT-00000095,First sell authority leader your you available.,CUM,850,128.62,109327.0,3,0.4,False,,ACTIVE,,True,,2023-10-18
CTR-2022-000430-BOQ-0032,CTR-2022-000430,10.1.7,Insulation,7,MAT-00000575,Media car give attention each.,SQM,115,96.89,11142.35,113,98.3,False,,ACTIVE,VO-024,True,,2020-06-06
CTR-2022-000430-BOQ-0033,CTR-2022-000430,10.5.8,Insulation,8,MAT-00000043,Citizen street region particularly would.,PKT,374,240.84,90074.16,20,5.3,False,,ACTIVE,,True,,2023-07-23
CTR-2022-000430-BOQ-0034,CTR-2022-000430,10.10.9,Insulation,9,MAT-00000998,Account stage federal professional voice care break.,KG,768,1726.57,1326005.76,242,31.5,False,,ON_HOLD,,False,Score choice example decision.,2022-09-22
CTR-2022-000430-BOQ-0035,CTR-2022-000430,10.7.10,Insulation,10,MAT-00000802,Data plant enough major town suffer.,NOS,822,2485.16,2042801.52,752,91.5,False,,ACTIVE,,True,,2024-04-11
CTR-2022-000430-BOQ-0036,CTR-2022-000430,10.4.11,Insulation,11,MAT-00000228,Plant stop analysis four.,CUM,837,150.16,125683.92,358,42.8,False,,REVISED,,True,,2022-09-06
CTR-2021-000286-BOQ-0037,CTR-2021-000286,5.9.1,Earthworks,1,MAT-00000360,Pm energy scientist necessary.,KG,410,3390.03,1389912.3,274,66.8,False,,ACTIVE,,True,,2021-12-23
CTR-2021-000286-BOQ-0038,CTR-2021-000286,5.2.2,Earthworks,2,MAT-00000040,Night born war real chance along.,MT,611,1887.66,1153360.26,321,52.5,False,,ON_HOLD,,False,,2019-07-01
CTR-2021-000286-BOQ-0039,CTR-2021-000286,5.7.3,Earthworks,3,MAT-00000726,Old challenge camera final together someone.,JOINT,2,956.27,1912.54,2,100.0,False,,ON_HOLD,,True,,2022-09-14
CTR-2021-000286-BOQ-0040,CTR-2021-000286,5.6.4,Earthworks,4,MAT-00000639,Together decide economic.,KG,680,2802.76,1905876.8,307,45.1,False,,ACTIVE,,True,,2021-02-24
CTR-2021-000286-BOQ-0041,CTR-2021-000286,5.7.5,Earthworks,5,MAT-00000431,Government nice themselves wind.,SET,694,62829.11,43603402.34,178,25.6,False,,ACTIVE,,True,,2023-10-27
CTR-2021-000286-BOQ-0042,CTR-2021-000286,5.10.6,Earthworks,6,MAT-00000805,Understand door class son.,MONTH,622,584663.88,363660933.36,476,76.5,False,,ACTIVE,,False,,2020-11-26
CTR-2021-000286-BOQ-0043,CTR-2021-000286,5.2.7,Earthworks,7,MAT-00000675,Soon ten specific environment skin blue.,CUM,291,167.96,48876.36,171,58.8,True,Thing agent say forward.,ON_HOLD,,True,,2020-08-26
CTR-2021-000286-BOQ-0044,CTR-2021-000286,5.1.8,Earthworks,8,MAT-00000026,Teach develop staff.,BAG,251,713.91,179191.41,156,62.2,False,,ACTIVE,,True,,2023-04-22
CTR-2021-000286-BOQ-0045,CTR-2021-000286,5.7.9,Earthworks,9,MAT-00000507,Foreign ten whom evidence political hundred.,NOS,250,8882.63,2220657.5,176,70.4,True,Glass star the development process.,REVISED,,True,,2020-12-21
CTR-2021-000286-BOQ-0046,CTR-2021-000286,5.9.10,Earthworks,10,MAT-00000824,Former agree theory end oil worker although.,BBL,476,143.4,68258.4,127,26.7,False,,ACTIVE,,True,,2022-07-23
CTR-2021-000286-BOQ-0047,CTR-2021-000286,5.8.11,Earthworks,11,MAT-00000973,Its rock finish paper memory history office effort.,SET,628,5036.56,3162959.68,516,82.2,False,,ON_HOLD,,True,,2024-01-18
CTR-2021-000286-BOQ-0048,CTR-2021-000286,5.4.12,Earthworks,12,MAT-00000266,Ability understand Mrs rest score provide.,NOS,861,61627.86,53061587.46,784,91.1,False,,ACTIVE,,True,,2021-08-18
CTR-2021-000286-BOQ-0049,CTR-2021-000286,5.6.13,Earthworks,13,MAT-00000279,Rest feel finally impact.,RM,328,4641.46,1522398.88,41,12.5,True,Issue we TV perhaps professional.,ACTIVE,,False,Recent never court professor here security.,2023-07-28
CTR-2021-000286-BOQ-0050,CTR-2021-000286,5.9.14,Earthworks,14,MAT-00000339,Past feeling nature a.,SET,478,56212.64,26869641.92,105,22.0,False,,ACTIVE,,False,Decision size parent focus kid.,2023-04-08
CTR-2021-000489-BOQ-0051,CTR-2021-000489,5.7.1,Electrical Works,1,MAT-00000772,Memory soldier where save probably.,CUM,874,185.44,162074.56,855,97.8,False,,ACTIVE,,True,,2021-06-17
CTR-2021-000280-BOQ-0052,CTR-2021-000280,1.6.1,Piping,1,MAT-00000399,Middle plan friend stand seem.,MT,685,8.55,5856.75,414,60.4,False,,REVISED,,False,,2023-06-02
CTR-2021-000280-BOQ-0053,CTR-2021-000280,1.10.2,Piping,2,MAT-00000607,Different current agency each little.,NOS,679,25373.34,17228497.86,658,96.9,False,,DELETED,,True,,2024-02-06
CTR-2021-000280-BOQ-0054,CTR-2021-000280,1.6.3,Piping,3,MAT-00000335,Lay though offer responsibility.,SET,780,4487.04,3499891.2,284,36.4,False,,REVISED,,True,Manager during prevent accept seem show.,2019-08-02
CTR-2021-000280-BOQ-0055,CTR-2021-000280,1.6.4,Piping,4,MAT-00000975,Sing despite sound receive.,HR,230,1456.42,334976.6,199,86.5,False,,ACTIVE,VO-016,True,Anyone eat summer lead soon property write.,2020-09-16
CTR-2021-000280-BOQ-0056,CTR-2021-000280,1.3.5,Piping,5,MAT-00000245,Fish sense kind spring throughout interview trade knowledge.,BOX,485,511.4,248029.0,288,59.4,False,,ACTIVE,,True,,2020-04-14
CTR-2021-000280-BOQ-0057,CTR-2021-000280,1.3.6,Piping,6,MAT-00000797,She miss phone ever back.,LTR,988,943.03,931713.64,592,59.9,True,Season listen else easy.,ACTIVE,,False,,2021-03-23
CTR-2021-000280-BOQ-0058,CTR-2021-000280,1.10.7,Piping,7,MAT-00000078,Discuss really relationship ask.,JOINT,708,2703.29,1913929.32,248,35.0,True,Doctor from throw ball.,REVISED,,True,,2019-06-18
CTR-2022-000356-BOQ-0059,CTR-2022-000356,11.2.1,Instrumentation,1,MAT-00000380,Former letter artist strategy hope show.,SET,519,60198.14,31242834.66,12,2.3,False,,REVISED,,False,,2024-02-27
CTR-2022-000356-BOQ-0060,CTR-2022-000356,11.3.2,Instrumentation,2,MAT-00000725,Task she herself.,NOS,446,26629.99,11876975.54,267,59.9,False,,ACTIVE,,True,,2023-11-20
CTR-2022-000356-BOQ-0061,CTR-2022-000356,11.10.3,Instrumentation,3,MAT-00000846,Wall fear hope.,RM,275,66313.2,18236130.0,125,45.5,False,,ACTIVE,,True,,2023-04-02
CTR-2022-000356-BOQ-0062,CTR-2022-000356,11.1.4,Instrumentation,4,MAT-00000345,Mrs same son today major event.,CUM,507,14.43,7316.01,93,18.3,False,,ACTIVE,,True,,2022-02-05
CTR-2022-000356-BOQ-0063,CTR-2022-000356,11.1.5,Instrumentation,5,MAT-00000570,Ahead from quickly identify close level camera.,DRUM,530,3893.74,2063682.2,87,16.4,False,,ACTIVE,,True,,2024-07-03
CTR-2022-000356-BOQ-0064,CTR-2022-000356,11.1.6,Instrumentation,6,MAT-00000459,Move trade option production base investment term consider.,NOS,96,5013.54,481299.84,51,53.1,False,,ACTIVE,,True,,2023-10-09
CTR-2022-000356-BOQ-0065,CTR-2022-000356,11.9.7,Instrumentation,7,MAT-00000764,Here deep force seven here.,KG,339,2660.62,901950.18,232,68.4,False,,ACTIVE,,True,,2021-01-28
CTR-2022-000356-BOQ-0066,CTR-2022-000356,11.4.8,Instrumentation,8,MAT-00000197,Edge bank affect much yourself glass.,NOS,757,64045.55,48482481.35,741,97.9,False,,REVISED,,False,,2022-04-28
CTR-2022-000356-BOQ-0067,CTR-2022-000356,11.6.9,Instrumentation,9,MAT-00000233,Sit prepare senior wear.,DAY,184,3329.3,612591.2,181,98.4,False,,ACTIVE,,True,,2020-06-01
CTR-2024-000654-BOQ-0068,CTR-2024-000654,2.1.1,Piping,1,MAT-00000894,Stuff perform draw list boy.,DRUM,588,452.92,266316.96,490,83.3,False,,ACTIVE,VO-031,True,Let eight hard paper white.,2024-07-07
CTR-2024-000654-BOQ-0069,CTR-2024-000654,2.10.2,Piping,2,MAT-00000076,Agent find quality when however resource away real.,CUM,645,229.77,148201.65,155,24.0,True,Sing clearly find.,ACTIVE,,False,,2023-09-01
CTR-2024-000654-BOQ-0070,CTR-2024-000654,2.10.3,Piping,3,MAT-00000621,Drug recent feeling range south someone not American.,KG,810,653.37,529229.7,794,98.0,False,,ACTIVE,,False,,2022-06-04
CTR-2024-000654-BOQ-0071,CTR-2024-000654,2.10.4,Piping,4,MAT-00000583,Item gun through least.,SET,62,94921.33,5885122.46,47,75.8,True,Into have media game support state.,REVISED,,True,Itself safe whole establish.,2021-09-09
CTR-2024-000654-BOQ-0072,CTR-2024-000654,2.9.5,Piping,5,MAT-00000178,Simple let stay or focus early various.,SET,77,1627.76,125337.52,52,67.5,False,,ACTIVE,,True,,2024-02-03
CTR-2024-000654-BOQ-0073,CTR-2024-000654,2.4.6,Piping,6,MAT-00000073,Think during let particular her.,DRUM,947,3469.04,3285180.88,810,85.5,False,,ACTIVE,,True,,2020-09-02
CTR-2024-000654-BOQ-0074,CTR-2024-000654,2.5.7,Piping,7,MAT-00000931,Management foot maintain.,DAY,847,290066.8,245686579.6,61,7.2,False,,ACTIVE,,True,,2020-05-24
CTR-2024-000654-BOQ-0075,CTR-2024-000654,2.5.8,Piping,8,MAT-00000480,Something future they red everybody act.,NOS,717,240199.56,172223084.52,278,38.8,False,,ACTIVE,VO-003,False,,2021-10-22
CTR-2024-000654-BOQ-0076,CTR-2024-000654,2.2.9,Piping,9,MAT-00000027,Beat result major serve real.,RM,235,832.67,195677.45,214,91.1,False,,ACTIVE,VO-049,True,,2019-06-14
CTR-2024-000654-BOQ-0077,CTR-2024-000654,2.3.10,Piping,10,MAT-00000782,Large admit family identify during professional hard.,SQM,482,117.14,56461.48,226,46.9,False,,ACTIVE,,True,,2020-01-09
CTR-2024-000654-BOQ-0078,CTR-2024-000654,2.6.11,Piping,11,MAT-00000482,Discover return firm sea week.,MT,419,208.52,87369.88,343,81.9,True,Most international second former reflect even.,ACTIVE,,True,,2023-06-29
CTR-2024-000654-BOQ-0079,CTR-2024-000654,2.9.12,Piping,12,MAT-00000834,Course school everybody operation.,SET,38,51610.7,1961206.6,20,52.6,False,,ACTIVE,,False,,2019-01-05
CTR-2024-000654-BOQ-0080,CTR-2024-000654,2.9.13,Piping,13,MAT-00000674,Others wonder strategy fast guess few remain.,KG,474,1591.86,754541.64,96,20.3,False,,ACTIVE,,True,Ever window network recently.,2021-12-29
CTR-2024-000654-BOQ-0081,CTR-2024-000654,2.3.14,Piping,14,MAT-00000563,Point sell bill activity.,MT,950,31.71,30124.5,901,94.8,False,,ACTIVE,,True,,2020-10-10
CTR-2023-000319-BOQ-0082,CTR-2023-000319,9.2.1,General Requirements,1,MAT-00000418,Light key continue anything wait.,HR,231,6349.2,1466665.2,29,12.6,False,,ACTIVE,,True,,2024-09-15
CTR-2023-000319-BOQ-0083,CTR-2023-000319,9.5.2,General Requirements,2,MAT-00000723,Box assume man officer rather charge specific.,SET,426,65214.46,27781359.96,241,56.6,False,,ACTIVE,,False,,2020-07-13
CTR-2023-000319-BOQ-0084,CTR-2023-000319,9.2.3,General Requirements,3,MAT-00000885,Be easy newspaper indicate other.,JOINT,283,1113.17,315027.11,212,74.9,False,,REVISED,,True,,2024-06-28
CTR-2023-000319-BOQ-0085,CTR-2023-000319,9.3.4,General Requirements,4,MAT-00000887,Difficult mission late kind team wrong figure perform.,NOS,458,938.17,429681.86,176,38.4,False,,REVISED,,False,,2021-09-05
CTR-2023-000319-BOQ-0086,CTR-2023-000319,9.7.5,General Requirements,5,MAT-00000586,Community avoid able late order.,RM,240,65943.8,15826512.0,105,43.8,True,Whether between several personal enough ball.,ACTIVE,,False,,2020-09-15
CTR-2023-000319-BOQ-0087,CTR-2023-000319,9.1.6,General Requirements,6,MAT-00000508,Allow explain executive teacher author.,NOS,130,4698.74,610836.2,84,64.6,False,,DELETED,,True,,2020-08-13
CTR-2023-000319-BOQ-0088,CTR-2023-000319,9.3.7,General Requirements,7,MAT-00000420,Under skin person product value.,KG,77,1563.45,120385.65,33,42.9,False,,ACTIVE,,False,,2024-12-25
CTR-2023-000319-BOQ-0089,CTR-2023-000319,9.6.8,General Requirements,8,MAT-00000390,Boy different chance enter central arrive.,DAY,642,314182.17,201704953.14,499,77.7,False,,ACTIVE,VO-041,True,,2021-07-20
CTR-2023-000319-BOQ-0090,CTR-2023-000319,9.2.9,General Requirements,9,MAT-00000765,Organization station TV keep light.,BAG,445,531.07,236326.15,389,87.4,False,,DELETED,,True,,2019-07-08
CTR-2023-000333-BOQ-0091,CTR-2023-000333,5.6.1,General Requirements,1,MAT-00000368,Record wall matter management ball.,SET,442,39312.79,17376253.18,271,61.3,False,,ACTIVE,,True,,2023-04-16
CTR-2023-000333-BOQ-0092,CTR-2023-000333,5.4.2,General Requirements,2,MAT-00000635,Threat same page.,CUM,510,322.3,164373.0,73,14.3,False,,ACTIVE,,True,,2024-03-20
CTR-2023-000333-BOQ-0093,CTR-2023-000333,5.5.3,General Requirements,3,MAT-00000923,Before while structure.,NOS,694,205052.92,142306726.48,75,10.8,False,,ACTIVE,,True,,2021-10-21
CTR-2023-000333-BOQ-0094,CTR-2023-000333,5.5.4,General Requirements,4,MAT-00000468,Like prepare trouble consider.,MT,204,4326.67,882640.68,123,60.3,True,Onto again share start office several.,ACTIVE,,True,,2019-03-31
CTR-2023-000333-BOQ-0095,CTR-2023-000333,5.7.5,General Requirements,5,MAT-00000850,Job sport why like impact fly bit claim.,KG,282,838.35,236414.7,25,8.9,False,,ACTIVE,,False,,2021-07-31
CTR-2023-000333-BOQ-0096,CTR-2023-000333,5.6.6,General Requirements,6,MAT-00000622,Really explain war spend nearly lawyer.,SQM,225,238.29,53615.25,158,70.2,False,,REVISED,,True,,2020-02-02
CTR-2023-000333-BOQ-0097,CTR-2023-000333,5.1.7,General Requirements,7,MAT-00000926,Education break significant ten stay ability.,RM,317,2720.76,862480.92,17,5.4,False,,ACTIVE,VO-019,True,,2021-04-02
CTR-2023-000333-BOQ-0098,CTR-2023-000333,5.9.8,General Requirements,8,MAT-00000136,Left approach million performance material kind appear.,NOS,898,220.09,197640.82,543,60.5,False,,ACTIVE,,False,,2022-04-23
CTR-2023-000333-BOQ-0099,CTR-2023-000333,5.6.9,General Requirements,9,MAT-00000765,Ahead picture son report.,BAG,824,346.11,285194.64,77,9.3,True,Near until just recognize.,ON_HOLD,,False,,2023-02-07
CTR-2023-000333-BOQ-0100,CTR-2023-000333,5.7.10,General Requirements,10,MAT-00000093,Nearly need behavior yeah tree.,CUM,15,451.63,6774.45,3,20.0,False,,ACTIVE,,True,,2023-03-02
CTR-2023-000333-BOQ-0101,CTR-2023-000333,5.4.11,General Requirements,11,MAT-00000111,Water positive child usually factor relate indeed.,NOS,483,33291.81,16079944.23,452,93.6,False,,ACTIVE,,True,,2024-03-16
CTR-2023-000333-BOQ-0102,CTR-2023-000333,5.5.12,General Requirements,12,MAT-00000932,Tell everybody so increase.,LTR,665,2746.43,1826375.95,143,21.5,True,Woman during necessary himself two meet.,ACTIVE,,True,,2020-07-09
CTR-2023-000333-BOQ-0103,CTR-2023-000333,5.8.13,General Requirements,13,MAT-00000398,Environment able rise study oil process tend.,NOS,380,885.45,336471.0,380,100.0,False,,ACTIVE,,False,,2020-02-10
CTR-2021-000854-BOQ-0104,CTR-2021-000854,7.5.1,Insulation,1,MAT-00000962,Mrs generation necessary myself lay focus country.,NOS,34,1416.79,48170.86,13,38.2,False,,ON_HOLD,,True,,2023-01-09
CTR-2021-000854-BOQ-0105,CTR-2021-000854,7.7.2,Insulation,2,MAT-00000063,Occur do simply analysis seat.,JOINT,283,771.69,218388.27,62,21.9,False,,REVISED,VO-014,True,,2019-03-29
CTR-2021-000854-BOQ-0106,CTR-2021-000854,7.6.3,Insulation,3,MAT-00000052,History professional star wonder manager already.,JOINT,250,1380.59,345147.5,201,80.4,False,,ACTIVE,,True,,2021-08-12
CTR-2021-000854-BOQ-0107,CTR-2021-000854,7.3.4,Insulation,4,MAT-00000337,Whole forward beyond suddenly between treat address.,SET,808,35084.43,28348219.44,2,0.2,False,,ON_HOLD,,True,,2020-03-26
CTR-2021-000854-BOQ-0108,CTR-2021-000854,7.1.5,Insulation,5,MAT-00000677,Improve pressure child light.,MONTH,135,328482.4,44345124.0,60,44.4,False,,ACTIVE,,True,,2020-04-10
CTR-2021-000854-BOQ-0109,CTR-2021-000854,7.2.6,Insulation,6,MAT-00000764,Full realize power system system.,KG,488,2799.22,1366019.36,185,37.9,False,,ACTIVE,,False,Here first responsibility service their along attention.,2024-11-05
CTR-2021-000854-BOQ-0110,CTR-2021-000854,7.8.7,Insulation,7,MAT-00000309,Range explain dinner bed within set region beyond.,BAG,659,274.78,181080.02,62,9.4,False,,REVISED,,True,,2023-12-22
CTR-2021-000854-BOQ-0111,CTR-2021-000854,7.2.8,Insulation,8,MAT-00000076,Grow issue each include radio.,CUM,330,221.56,73114.8,33,10.0,True,Really tough animal someone.,ACTIVE,,False,,2024-12-13
CTR-2023-000302-BOQ-0112,CTR-2023-000302,10.2.1,Painting & Coatings,1,MAT-00000441,Color bad that people.,SET,813,108782.96,88440546.48,670,82.4,False,,REVISED,,True,,2021-07-24
CTR-2023-000302-BOQ-0113,CTR-2023-000302,10.6.2,Painting & Coatings,2,MAT-00000424,Marriage on discussion point least.,CUM,848,156.63,132822.24,425,50.1,False,,ACTIVE,,True,,2024-04-26
CTR-2023-000302-BOQ-0114,CTR-2023-000302,10.2.3,Painting & Coatings,3,MAT-00000069,Citizen kid generation onto police interesting economic.,JOINT,852,1355.31,1154724.12,442,51.9,True,Together let explain.,ACTIVE,,True,,2022-09-12
CTR-2023-000302-BOQ-0115,CTR-2023-000302,10.2.4,Painting & Coatings,4,MAT-00000687,Current his low down occur.,RM,421,177.28,74634.88,340,80.8,False,,ACTIVE,,True,,2022-07-03
CTR-2023-000302-BOQ-0116,CTR-2023-000302,10.2.5,Painting & Coatings,5,MAT-00000361,Fast recognize against stop how account ten.,CUM,592,85.31,50503.52,158,26.7,False,,ACTIVE,,False,,2022-02-15
CTR-2023-000302-BOQ-0117,CTR-2023-000302,10.4.6,Painting & Coatings,6,MAT-00000588,Treat seat strategy.,JOINT,827,1261.72,1043442.44,574,69.4,False,,REVISED,,True,Simply discover soon despite couple.,2021-12-31
CTR-2023-000302-BOQ-0118,CTR-2023-000302,10.3.7,Painting & Coatings,7,MAT-00000030,Question return process stuff pick.,SET,280,16769.17,4695367.6,158,56.4,False,,ACTIVE,,True,,2019-10-13
CTR-2023-000302-BOQ-0119,CTR-2023-000302,10.1.8,Painting & Coatings,8,MAT-00000146,Position final kid often run bed far section.,MT,94,3014.41,283354.54,27,28.7,False,,ACTIVE,,True,,2019-12-14
CTR-2022-000905-BOQ-0120,CTR-2022-000905,3.10.1,Concrete Works,1,MAT-00000773,Customer skill theory hand.,SET,51,8229.37,419697.87,17,33.3,False,,ACTIVE,,True,,2024-09-29
CTR-2020-000117-BOQ-0121,CTR-2020-000117,2.10.1,Instrumentation,1,MAT-00000291,Sound life away senior difficult put.,SET,499,90284.88,45052155.12,157,31.5,True,Tree store either station loss southern.,ACTIVE,,True,,2021-05-15
CTR-2020-000117-BOQ-0122,CTR-2020-000117,2.3.2,Instrumentation,2,MAT-00000786,Buy happy see energy herself police he.,MT,783,830.89,650586.87,335,42.8,True,Whose source hand so add.,ACTIVE,,True,,2021-07-31
CTR-2020-000117-BOQ-0123,CTR-2020-000117,2.9.3,Instrumentation,3,MAT-00000513,Determine as statement travel few impact cause watch.,MONTH,854,488709.58,417357981.32,362,42.4,True,Likely people wall foreign.,DELETED,VO-002,True,You break doctor Mr home.,2022-07-06
CTR-2020-000117-BOQ-0124,CTR-2020-000117,2.7.4,Instrumentation,4,MAT-00000590,Provide sea watch industry score choice.,DRUM,588,4089.05,2404361.4,427,72.6,False,,ACTIVE,,True,,2024-02-28
CTR-2020-000117-BOQ-0125,CTR-2020-000117,2.6.5,Instrumentation,5,MAT-00000852,Pressure street past voice evidence real.,NOS,91,2193.88,199643.08,13,14.3,False,,ACTIVE,,True,,2022-10-22
CTR-2020-000117-BOQ-0126,CTR-2020-000117,2.6.6,Instrumentation,6,MAT-00000227,Kitchen wear talk between rate.,RM,798,737.85,588804.3,522,65.4,False,,ACTIVE,,False,,2020-08-27
CTR-2019-000242-BOQ-0127,CTR-2019-000242,5.3.1,Concrete Works,1,MAT-00000203,Top population art every why we station.,SET,617,64799.87,39981519.79,77,12.5,False,,REVISED,,False,,2024-01-13
