transaction_id,project_id,vendor_id,po_id,contract_id,invoice_id,wbs_code,cost_type,cost_status,budget_amount,actual_amount,variance,currency,transaction_date,posting_date,fiscal_period,change_order_flag,change_order_ref,description,created_date
TXN-2023-00000023,PRJ-2021-00577,VND-000103,,CTR-2024-000903,INV-2025-0000071,5.02,MATERIAL,POSTED,40186.74,49816.89,9630.15,USD,2023-07-09,2023-07-09,2023-08,False,,Will seven medical blood.,2023-07-09
TXN-2024-00000024,PRJ-2022-00310,VND-000627,PO-2024-0000680,,,1.05,OVERHEAD,FORECAST,4285.01,3649.94,-635.07,USD,2024-03-09,,2024-02,False,,Fear police participant check several much single.,2024-03-09
TXN-2020-00000025,PRJ-2024-00279,VND-000289,,CTR-2021-000258,,4.03,SUBCONTRACT,ACCRUED,16049.39,20104.56,4055.17,USD,2020-01-27,,2020-07,False,,Truth out major born guy world.,2020-01-27
TXN-2019-00000026,PRJ-2023-00004,VND-000342,,CTR-2019-000565,,5.02,SUBCONTRACT,COMMITTED,42889.57,49444.54,6554.97,EUR,2019-10-15,,2019-12,True,CO-0020,Dream drive note bad.,2019-10-15
TXN-2023-00000027,PRJ-2019-00037,VND-000855,PO-2023-0000374,,INV-2019-0000921,7.02,EQUIPMENT,POSTED,6460.81,8182.9,1722.09,USD,2023-01-21,2023-01-21,2023-04,False,,Staff within mouth call process water.,2023-01-21
TXN-2024-00000028,PRJ-2020-00106,VND-000363,,CTR-2020-000948,,7.05,FREIGHT,COMMITTED,63802.46,80706.32,16903.86,USD,2024-03-24,,2024-03,False,,Enter their institution deep.,2024-03-24
TXN-2019-00000029,PRJ-2021-00184,VND-000755,PO-2024-0000807,,,7.02,SUBCONTRACT,FORECAST,14750.64,16972.66,2222.02,SAR,2019-07-15,,2019-08,False,,Sense ready require human public health.,2019-07-15
TXN-2025-00000030,PRJ-2021-00941,VND-000472,PO-2022-0000198,,INV-2025-0000409,4.02,OVERHEAD,POSTED,23446.1,22605.11,-840.99,SAR,2025-02-05,2025-02-05,2025-05,False,,Later easy ask again network open.,2025-02-05
TXN-2023-00000031,PRJ-2019-00410,VND-000696,,CTR-2020-000268,,1.01,EQUIPMENT,FORECAST,14727.03,13096.51,-1630.52,SAR,2023-05-16,,2023-07,True,CO-0153,Audience piece director.,2023-05-16
TXN-2025-00000032,PRJ-2024-00322,VND-000447,PO-2023-0000046,,,7.05,EQUIPMENT,ACCRUED,584444.6,674678.55,90233.95,USD,2025-01-01,,2025-09,False,,Teacher audience draw.,2025-01-01
TXN-2024-00000033,PRJ-2023-00755,VND-000687,PO-2024-0000869,,INV-2023-0000128,6.05,MATERIAL,POSTED,35587.66,41277.31,5689.65,SAR,2024-06-02,2024-06-02,2024-11,False,,Democrat car very number line six.,2024-06-02
TXN-2022-00000034,PRJ-2023-00714,VND-000303,,CTR-2023-000309,,7.02,LABOUR,ACCRUED,7431.13,7453.7,22.57,SAR,2022-01-01,,2022-04,False,,Couple best issue interest level.,2022-01-01
TXN-2023-00000035,PRJ-2024-00622,VND-000671,PO-2019-0000923,,INV-2024-0000983,4.05,MATERIAL,POSTED,124718.86,149414.74,24695.88,SAR,2023-03-28,2023-03-28,2023-05,False,,Pull worker better.,2023-03-28
TXN-2024-00000036,PRJ-2023-00635,VND-000344,PO-2021-0000204,,INV-2024-0000151,4.03,INSURANCE,POSTED,5818.13,4725.56,-1092.57,USD,2024-05-05,2024-05-05,2024-10,False,,Rock song body court movie.,2024-05-05
TXN-2019-00000037,PRJ-2021-00467,VND-000425,PO-2022-0000152,,,7.04,EQUIPMENT,FORECAST,49676.9,56036.98,6360.08,USD,2019-01-03,,2019-02,False,,Instead everything economic.,2019-01-03
TXN-2020-00000038,PRJ-2024-00181,VND-000824,PO-2024-0000869,,,1.05,EQUIPMENT,FORECAST,1920.8,1653.19,-267.61,SAR,2020-03-09,,2020-11,False,,Kitchen technology nearly.,2020-03-09
TXN-2023-00000039,PRJ-2019-00610,VND-000325,PO-2024-0000163,,,7.05,FREIGHT,FORECAST,4952.86,5803.9,851.04,USD,2023-09-01,,2023-04,False,,Present music address.,2023-09-01
TXN-2021-00000040,PRJ-2024-00785,VND-000797,PO-2023-0000293,,,5.04,SUBCONTRACT,ACCRUED,48790.55,44752.98,-4037.57,SAR,2021-06-21,,2021-09,False,,Unit support coach.,2021-06-21
TXN-2020-00000041,PRJ-2020-00237,VND-000393,PO-2020-0000556,,,2.04,SUBCONTRACT,COMMITTED,109941.08,113564.97,3623.89,SAR,2020-02-01,,2020-07,False,,Loss ten total clearly able hospital.,2020-02-01
TXN-2025-00000042,PRJ-2022-00599,VND-000969,PO-2022-0000361,,,7.04,OVERHEAD,COMMITTED,46960.05,44579.47,-2380.58,SAR,2025-07-19,,2025-07,False,,Expect recent room situation product.,2025-07-19
TXN-2024-00000043,PRJ-2020-00560,VND-000820,PO-2023-0000030,,,4.03,MATERIAL,ACCRUED,30531.91,30361.8,-170.11,USD,2024-12-08,,2024-07,False,,Choice father why often my security.,2024-12-08
TXN-2025-00000044,PRJ-2023-00479,VND-000942,,CTR-2019-000679,INV-2023-0000028,1.04,SUBCONTRACT,POSTED,23117.48,19464.31,-3653.17,SAR,2025-08-08,2025-08-08,2025-08,False,,Anyone live try.,2025-08-08
TXN-2021-00000045,PRJ-2023-00389,VND-000336,,CTR-2024-000852,INV-2022-0000432,7.03,MATERIAL,POSTED,3952.95,3660.97,-291.98,SAR,2021-02-11,2021-02-11,2021-12,False,,Church whether bag control organization push.,2021-02-11
TXN-2021-00000046,PRJ-2019-00230,VND-000666,,CTR-2019-000205,INV-2024-0000860,1.01,INSURANCE,POSTED,12335.46,9994.07,-2341.39,USD,2021-03-20,2021-03-20,2021-08,False,,Identify walk now often.,2021-03-20
TXN-2023-00000047,PRJ-2023-00971,VND-000224,,CTR-2019-000987,,6.02,MATERIAL,ACCRUED,18197.54,21363.24,3165.7,EUR,2023-02-28,,2023-03,False,,People information on.,2023-02-28
TXN-2019-00000048,PRJ-2022-00593,VND-000027,,CTR-2023-000204,,7.04,EQUIPMENT,FORECAST,177315.04,148589.69,-28725.35,SAR,2019-12-20,,2019-04,False,,First end prove fire enter capital.,2019-12-20
TXN-2025-00000049,PRJ-2020-00309,VND-000871,,CTR-2022-000678,,1.03,OVERHEAD,COMMITTED,60805.01,59910.29,-894.72,USD,2025-09-17,,2025-01,False,,Lead upon very act.,2025-09-17
TXN-2025-00000050,PRJ-2019-00502,VND-000109,PO-2021-0000752,,,8.02,MATERIAL,ACCRUED,2579.73,2736.77,157.04,USD,2025-11-30,,2025-09,False,,Your you available defense enter value.,2025-11-30
TXN-2022-00000051,PRJ-2024-00447,VND-000846,PO-2022-0000462,,,4.01,MATERIAL,COMMITTED,59049.18,54439.31,-4609.87,SAR,2022-08-26,,2022-11,False,,These hard citizen.,2022-08-26
TXN-2019-00000052,PRJ-2024-00507,VND-000872,PO-2020-0000902,,INV-2024-0000611,6.03,MATERIAL,POSTED,20381.37,23450.64,3069.27,EUR,2019-05-22,2019-05-22,2019-09,False,,Region particularly would pressure account stage.,2019-05-22
TXN-2019-00000053,PRJ-2023-00248,VND-000738,,CTR-2022-000503,,4.04,EQUIPMENT,ACCRUED,13155.79,13472.68,316.89,SAR,2019-01-09,,2019-04,False,,Use billion there enough.,2019-01-09
TXN-2020-00000054,PRJ-2021-00314,VND-000680,,CTR-2022-000564,,6.04,MATERIAL,ACCRUED,90899.92,87754.39,-3145.53,SAR,2020-12-25,,2020-05,False,,Score choice example.,2020-12-25
TXN-2019-00000055,PRJ-2024-00739,VND-000198,PO-2023-0000496,,INV-2019-0000284,3.02,SUBCONTRACT,POSTED,170501.48,198172.59,27671.11,USD,2019-09-26,2019-09-26,2019-02,False,,Response data plant enough.,2019-09-26
TXN-2021-00000056,PRJ-2023-00233,VND-000370,PO-2020-0000056,,INV-2019-0000567,3.03,LABOUR,POSTED,146813.77,138895.86,-7917.91,SAR,2021-03-06,2021-03-06,2021-08,False,,Economy traditional anything plant stop analysis.,2021-03-06
TXN-2019-00000057,PRJ-2021-00588,VND-000292,PO-2023-0000883,,,3.01,MATERIAL,ACCRUED,10313.14,10713.96,400.82,SAR,2019-02-03,,2019-02,False,,Side PM energy scientist necessary.,2019-02-03
TXN-2024-00000058,PRJ-2023-00055,VND-000156,,CTR-2023-000122,INV-2020-0000572,5.01,EQUIPMENT,POSTED,22838.01,26999.59,4161.58,SAR,2024-11-06,2024-11-06,2024-10,False,,Night born war real chance.,2024-11-06
TXN-2023-00000059,PRJ-2023-00390,VND-000462,,CTR-2020-000062,,7.03,MATERIAL,FORECAST,59688.53,65944.81,6256.28,USD,2023-02-20,,2023-04,False,,Strong old challenge.,2023-02-20
TXN-2021-00000060,PRJ-2019-00677,VND-000084,PO-2022-0000462,,INV-2019-0000706,2.02,LABOUR,POSTED,156892.74,172096.52,15203.78,SAR,2021-05-30,2021-05-30,2021-12,True,CO-0074,Among half value.,2021-05-30
TXN-2025-00000061,PRJ-2020-00465,VND-000073,PO-2023-0000231,,,4.04,FREIGHT,COMMITTED,17698.56,19889.95,2191.39,SAR,2025-05-17,,2025-02,False,,Together decide economic.,2025-05-17
TXN-2025-00000062,PRJ-2023-00315,VND-000610,PO-2023-0000706,,,5.04,EQUIPMENT,COMMITTED,27488.18,26170.0,-1318.18,SAR,2025-07-26,,2025-09,False,,Government nice themselves.,2025-07-26
TXN-2022-00000063,PRJ-2021-00083,VND-000613,PO-2024-0000094,,INV-2021-0000235,6.05,MATERIAL,POSTED,6908.43,8849.39,1940.96,EUR,2022-10-22,2022-10-22,2022-01,False,,See understand door class son computer.,2022-10-22
TXN-2024-00000064,PRJ-2022-00842,VND-000276,,CTR-2023-000453,,3.04,SUBCONTRACT,ACCRUED,6037.17,7594.98,1557.81,USD,2024-04-02,,2024-07,False,,Agent say forward us soon.,2024-04-02
TXN-2022-00000065,PRJ-2021-00993,VND-000094,,CTR-2021-000338,,6.01,MATERIAL,ACCRUED,122858.52,123573.87,715.35,USD,2022-09-11,,2022-07,False,,Environment skin blue the.,2022-09-11
TXN-2023-00000066,PRJ-2024-00038,VND-000466,,CTR-2021-000845,INV-2019-0000002,2.04,MATERIAL,POSTED,277717.6,313496.01,35778.41,SAR,2023-10-05,2023-10-05,2023-01,False,,Develop staff least figure somebody dinner.,2023-10-05
TXN-2021-00000067,PRJ-2020-00638,VND-000775,PO-2023-0000135,,,1.02,MATERIAL,ACCRUED,32597.3,41197.65,8600.35,SAR,2021-08-13,,2021-08,False,,Process huge everything.,2021-08-13
TXN-2024-00000068,PRJ-2021-00624,VND-000819,PO-2023-0000231,,INV-2022-0000862,1.05,LABOUR,POSTED,163619.57,205582.25,41962.68,USD,2024-08-24,2024-08-24,2024-11,False,,Whom evidence political.,2024-08-24
TXN-2022-00000069,PRJ-2023-00956,VND-000734,,CTR-2023-000250,INV-2022-0000468,7.04,SUBCONTRACT,POSTED,62470.77,67195.59,4724.82,SAR,2022-07-16,2022-07-16,2022-10,False,,Quickly such former agree theory.,2022-07-16
TXN-2020-00000070,PRJ-2019-00885,VND-000072,,CTR-2021-000520,INV-2021-0000274,7.03,SUBCONTRACT,POSTED,13798.57,16700.06,2901.49,SAR,2020-05-24,2020-05-24,2020-10,False,,Condition while enter board.,2020-05-24
TXN-2024-00000071,PRJ-2019-00502,VND-000887,,CTR-2021-000557,INV-2019-0000387,6.03,EQUIPMENT,POSTED,62448.24,64176.33,1728.09,SAR,2024-06-13,2024-06-13,2024-12,False,,Generation skill job worker break.,2024-06-13
TXN-2022-00000072,PRJ-2023-00240,VND-000877,PO-2024-0000680,,,8.04,LABOUR,COMMITTED,364781.87,436350.92,71569.05,EUR,2022-11-30,,2022-08,False,,Couple and job mind southern rather.,2022-11-30
TXN-2020-00000073,PRJ-2019-00515,VND-000989,,CTR-2023-000468,,8.01,OVERHEAD,ACCRUED,34415.45,27796.46,-6618.99,EUR,2020-03-14,,2020-11,False,,Hair attorney professional form.,2020-03-14
TXN-2019-00000074,PRJ-2021-00481,VND-000801,,CTR-2024-000873,,7.01,MATERIAL,FORECAST,379634.98,431712.83,52077.85,USD,2019-10-01,,2019-06,False,,Professional by tonight medical project.,2019-10-01
TXN-2025-00000075,PRJ-2022-00500,VND-000894,,CTR-2020-000765,,4.03,SUBCONTRACT,ACCRUED,1000.0,845.19,-154.81,USD,2025-02-20,,2025-12,False,,I fast camera inside wait.,2025-02-20
TXN-2022-00000076,PRJ-2022-00171,VND-000711,PO-2023-0000384,,INV-2020-0000442,6.01,LABOUR,POSTED,124598.74,108747.9,-15850.84,USD,2022-09-29,2022-09-29,2022-11,False,,Past feeling nature a.,2022-09-29
TXN-2020-00000077,PRJ-2024-00180,VND-000081,,CTR-2023-000147,,4.04,MATERIAL,ACCRUED,41380.73,37908.65,-3472.08,USD,2020-11-22,,2020-05,False,,Decision size parent focus.,2020-11-22
TXN-2025-00000078,PRJ-2023-00477,VND-000923,,CTR-2024-000602,INV-2021-0000307,2.04,EQUIPMENT,POSTED,23190.29,25960.82,2770.53,USD,2025-08-06,2025-08-06,2025-08,False,,Kind degree list top somebody.,2025-08-06
TXN-2020-00000079,PRJ-2021-00394,VND-000874,PO-2022-0000717,,,6.05,MATERIAL,ACCRUED,41674.35,39491.25,-2183.1,SAR,2020-12-03,,2020-01,False,,Probably exist professional people.,2020-12-03
TXN-2024-00000080,PRJ-2021-00797,VND-000763,,CTR-2022-000236,,8.03,FREIGHT,FORECAST,1842.07,2032.78,190.71,USD,2024-06-29,,2024-04,False,,Stand seem pull.,2024-06-29
TXN-2024-00000081,PRJ-2022-00774,VND-000739,,CTR-2024-000662,,3.01,SUBCONTRACT,COMMITTED,26120.93,21411.62,-4709.31,SAR,2024-08-13,,2024-12,True,CO-0094,Southern challenge animal worker.,2024-08-13
TXN-2021-00000082,PRJ-2024-00335,VND-000766,,CTR-2021-000280,,6.05,MATERIAL,ACCRUED,62048.33,75403.38,13355.05,EUR,2021-05-12,,2021-08,False,,Sure authority increase picture create recent.,2021-05-12
TXN-2021-00000083,PRJ-2021-00765,VND-000892,,CTR-2023-000232,INV-2019-0000881,2.02,LABOUR,POSTED,333314.27,379365.59,46051.32,SAR,2021-12-12,2021-12-12,2021-09,False,,Hundred challenge reach throughout team those.,2021-12-12
TXN-2025-00000084,PRJ-2024-00405,VND-000015,,CTR-2020-000843,INV-2022-0000654,6.03,LABOUR,POSTED,16690.49,21199.36,4508.87,SAR,2025-02-25,2025-02-25,2025-08,False,,Despite sound receive let newspaper.,2025-02-25
TXN-2023-00000085,PRJ-2020-00336,VND-000938,,CTR-2019-000120,,8.03,SUBCONTRACT,ACCRUED,10799.55,9394.4,-1405.15,SAR,2023-01-20,,2023-08,False,,Lead soon property.,2023-01-20
TXN-2020-00000086,PRJ-2022-00909,VND-000551,,CTR-2024-000159,INV-2022-0000907,7.05,MATERIAL,POSTED,17109.08,17236.41,127.33,SAR,2020-02-20,2020-02-20,2020-10,False,,Other wear through partner rest measure.,2020-02-20
TXN-2021-00000087,PRJ-2024-00034,VND-000707,PO-2021-0000703,,INV-2019-0000377,4.03,MATERIAL,POSTED,143358.42,153713.62,10355.2,SAR,2021-11-27,2021-11-27,2021-07,False,,Knowledge city technology late seem style.,2021-11-27
TXN-2019-00000088,PRJ-2024-00972,VND-000869,,CTR-2023-000052,,4.05,LABOUR,COMMITTED,59464.02,70964.2,11500.18,SAR,2019-05-05,,2019-10,False,,She miss phone ever.,2019-05-05
TXN-2025-00000089,PRJ-2024-00784,VND-000568,,CTR-2021-000808,INV-2021-0000923,4.03,MATERIAL,POSTED,16405.3,18012.87,1607.57,EUR,2025-05-22,2025-05-22,2025-03,False,,Require doctor from.,2025-05-22
TXN-2023-00000090,PRJ-2022-00257,VND-000818,PO-2020-0000809,,INV-2024-0000808,1.02,SUBCONTRACT,POSTED,78425.24,72070.11,-6355.13,SAR,2023-06-15,2023-06-15,2023-01,True,CO-0068,Ball character him check degree increase.,2023-06-15
TXN-2022-00000091,PRJ-2024-00539,VND-000117,,CTR-2023-000463,,6.05,MATERIAL,COMMITTED,42008.04,44189.07,2181.03,SAR,2022-11-11,,2022-09,True,CO-0169,My indeed deal information toward.,2022-11-11
TXN-2024-00000092,PRJ-2020-00988,VND-000032,,CTR-2022-000503,INV-2023-0000730,7.04,MATERIAL,POSTED,155277.25,194849.72,39572.47,USD,2024-02-07,2024-02-07,2024-06,False,,Watch affect thing offer local wall.,2024-02-07
TXN-2019-00000093,PRJ-2021-00130,VND-000282,,CTR-2019-000544,,6.04,EQUIPMENT,ACCRUED,12669.09,12003.32,-665.77,USD,2019-09-16,,2019-02,False,,Send table well industry.,2019-09-16
TXN-2019-00000094,PRJ-2019-00874,VND-000671,PO-2020-0000234,,,4.04,SUBCONTRACT,COMMITTED,22214.64,22368.07,153.43,SAR,2019-08-21,,2019-12,False,,Son today major event magazine home.,2019-08-21
TXN-2022-00000095,PRJ-2024-00321,VND-000682,PO-2024-0000088,,INV-2025-0000096,8.01,INSURANCE,POSTED,20167.7,20489.14,321.44,SAR,2022-07-10,2022-07-10,2022-09,False,,Right subject try wonder move.,2022-07-10
TXN-2023-00000096,PRJ-2021-00576,VND-000338,,CTR-2019-000615,,7.01,MATERIAL,COMMITTED,4042.94,3865.96,-176.98,SAR,2023-02-23,,2023-04,False,,Option production base investment term.,2023-02-23
TXN-2022-00000097,PRJ-2019-00230,VND-000868,,CTR-2021-000588,INV-2025-0000232,6.01,OVERHEAD,POSTED,56623.56,68152.72,11529.16,USD,2022-10-15,2022-10-15,2022-10,False,,Anyone here deep force.,2022-10-15
TXN-2024-00000098,PRJ-2020-00571,VND-000027,PO-2022-0000720,,,5.01,SUBCONTRACT,ACCRUED,53722.27,63457.0,9734.73,USD,2024-06-22,,2024-03,False,,Everything week instead strong like.,2024-06-22
TXN-2023-00000099,PRJ-2024-00674,VND-000411,,CTR-2024-000221,INV-2024-0000386,1.01,SUBCONTRACT,POSTED,36595.12,36958.01,362.89,USD,2023-06-24,2023-06-24,2023-05,False,,Appear weight difference attention whatever American.,2023-06-24
TXN-2025-00000100,PRJ-2020-00965,VND-000582,,CTR-2020-000051,,3.02,FREIGHT,ACCRUED,25543.02,29042.01,3498.99,SAR,2025-05-20,,2025-07,False,,Wear current after.,2025-05-20
TXN-2022-00000101,PRJ-2020-00425,VND-000280,PO-2024-0000695,,INV-2024-0000695,6.04,EQUIPMENT,POSTED,4345.71,4765.36,419.65,SAR,2022-09-27,2022-09-27,2022-01,False,,Draw list boy.,2022-09-27
TXN-2023-00000102,PRJ-2024-00057,VND-000008,PO-2023-0000123,,INV-2025-0000008,3.03,FREIGHT,POSTED,19322.63,20263.5,940.87,SAR,2023-08-09,2023-08-09,2023-07,False,,Let eight hard paper.,2023-08-09
TXN-2020-00000103,PRJ-2022-00513,VND-000573,,CTR-2020-000044,,2.04,OVERHEAD,COMMITTED,21718.68,22112.0,393.32,SAR,2020-08-23,,2020-06,False,,Sing clearly find.,2020-08-23
TXN-2023-00000104,PRJ-2024-00415,VND-000727,,CTR-2020-000176,,7.01,MATERIAL,ACCRUED,10900.72,13088.07,2187.35,EUR,2023-11-13,,2023-12,False,,Agent find quality when however resource.,2023-11-13
TXN-2019-00000105,PRJ-2023-00448,VND-000865,PO-2022-0000892,,INV-2024-0000318,7.05,MATERIAL,POSTED,28511.75,33441.5,4929.75,SAR,2019-04-24,2019-04-24,2019-03,False,,Option store drug.,2019-04-24
TXN-2024-00000106,PRJ-2019-00117,VND-000544,,CTR-2019-000839,,6.03,FREIGHT,ACCRUED,66574.46,74744.58,8170.12,SAR,2024-03-16,,2024-03,False,,Sure outside building worker.,2024-03-16
TXN-2020-00000107,PRJ-2020-00617,VND-000157,PO-2019-0000578,,,3.04,SUBCONTRACT,COMMITTED,614939.31,725590.61,110651.3,USD,2020-08-17,,2020-10,False,,Girl into have.,2020-08-17
TXN-2023-00000108,PRJ-2019-00331,VND-000885,PO-2020-0000647,,,8.01,MATERIAL,FORECAST,47186.67,44893.88,-2292.79,SAR,2023-05-21,,2023-06,False,,Positive actually information majority item gun.,2023-05-21
TXN-2021-00000109,PRJ-2019-00473,VND-000463,,CTR-2024-000876,INV-2025-0000093,5.01,MATERIAL,POSTED,53440.58,59185.67,5745.09,SAR,2021-09-17,2021-09-17,2021-10,False,,Religious itself safe whole establish.,2021-09-17
TXN-2025-00000110,PRJ-2022-00757,VND-000918,,CTR-2024-000514,INV-2020-0000155,4.03,FREIGHT,POSTED,32478.42,41535.39,9056.97,EUR,2025-08-19,2025-08-19,2025-06,False,,Simple let stay or focus early.,2025-08-19
TXN-2019-00000111,PRJ-2023-00517,VND-000662,,CTR-2024-000625,INV-2024-0000163,8.04,MATERIAL,POSTED,2042.32,2005.45,-36.87,USD,2019-05-25,2019-05-25,2019-06,False,,Everything late seek.,2019-05-25
TXN-2019-00000112,PRJ-2021-00809,VND-000647,,CTR-2024-000291,,2.05,LABOUR,ACCRUED,34899.55,32316.91,-2582.64,USD,2019-12-03,,2019-10,False,,Particular her agreement surface consider deep.,2019-12-03
TXN-2021-00000113,PRJ-2023-00084,VND-000597,PO-2022-0000726,,,5.04,FREIGHT,COMMITTED,39749.21,50441.79,10692.58,USD,2021-06-08,,2021-11,False,,Future they red everybody.,2021-06-08
TXN-2025-00000114,PRJ-2019-00131,VND-000687,,CTR-2020-000019,,2.04,FREIGHT,COMMITTED,1461338.23,1434009.5,-27328.73,EUR,2025-04-03,,2025-06,False,,Might course drop.,2025-04-03
TXN-2022-00000115,PRJ-2019-00197,VND-000232,,CTR-2020-000553,,5.01,LABOUR,FORECAST,27213.23,33133.74,5920.51,SAR,2022-09-27,,2022-10,True,CO-0087,Major serve real position make.,2022-09-27
TXN-2022-00000116,PRJ-2024-00158,VND-000167,PO-2023-0000374,,INV-2025-0000693,3.04,SUBCONTRACT,POSTED,57086.39,66208.39,9122.0,USD,2022-08-16,2022-08-16,2022-12,False,,Behavior develop reality.,2022-08-16
TXN-2020-00000117,PRJ-2019-00547,VND-000245,PO-2022-0000970,,INV-2025-0000585,8.02,OVERHEAD,POSTED,34473.02,44546.72,10073.7,SAR,2020-08-24,2020-08-24,2020-07,False,,Professional hard network gas.,2020-08-24
TXN-2022-00000118,PRJ-2022-00990,VND-000166,PO-2020-0000493,,,3.03,OVERHEAD,COMMITTED,6291.68,7783.18,1491.5,USD,2022-10-11,,2022-12,False,,Former reflect even edge building court.,2022-10-11
